,participant,trials,event,component,Duration,samples,stim,resp,RT,cue,movement,trigger,data,correct
4446,processed_500Hz_0001_epo,1,3,0,384.0,0,1.0,resp_left,683.0,SP,stim_left,SP/stim_left/resp_left,-5.0189347267150876e-06,1
4447,processed_500Hz_0001_epo,3,3,0,618.0,0,1.0,resp_right,994.0,SP,stim_left,SP/stim_left/resp_right,2.9686853885650633e-06,0
4448,processed_500Hz_0001_epo,5,3,0,454.0,0,2.0,resp_left,722.0,SP,stim_right,SP/stim_right/resp_left,-4.96959638595581e-06,0
4449,processed_500Hz_0001_epo,8,3,0,224.0,0,2.0,resp_right,552.0,SP,stim_right,SP/stim_right/resp_right,-3.800122261047363e-06,1
4450,processed_500Hz_0001_epo,9,3,0,512.0,0,1.0,resp_right,922.0,SP,stim_left,SP/stim_left/resp_right,1.0082562446594237e-05,0
4451,processed_500Hz_0001_epo,10,3,0,66.0,0,2.0,resp_right,325.0,SP,stim_right,SP/stim_right/resp_right,6.944504261016845e-06,1
4452,processed_500Hz_0001_epo,13,3,0,148.0,0,2.0,resp_right,405.0,SP,stim_right,SP/stim_right/resp_right,2.227631092071533e-06,1
4453,processed_500Hz_0001_epo,14,3,0,574.0,0,1.0,resp_left,854.0,SP,stim_left,SP/stim_left/resp_left,2.6125426292419434e-06,1
4454,processed_500Hz_0001_epo,16,3,0,174.0,0,1.0,resp_right,410.0,SP,stim_left,SP/stim_left/resp_right,-1.8539602756500243e-06,0
4455,processed_500Hz_0001_epo,18,3,0,310.0,0,1.0,resp_left,610.0,SP,stim_left,SP/stim_left/resp_left,1.5438332557678222e-06,1
4456,processed_500Hz_0001_epo,20,3,0,166.0,0,1.0,resp_right,537.0,SP,stim_left,SP/stim_left/resp_right,-6.384676933288574e-06,0
4457,processed_500Hz_0001_epo,21,3,0,300.0,0,1.0,resp_right,581.0,SP,stim_left,SP/stim_left/resp_right,7.712445259094238e-06,0
4458,processed_500Hz_0001_epo,25,3,0,508.0,0,1.0,resp_left,785.0,SP,stim_left,SP/stim_left/resp_left,-6.977837085723877e-06,1
4459,processed_500Hz_0001_epo,27,3,0,248.0,0,1.0,resp_left,513.0,SP,stim_left,SP/stim_left/resp_left,4.259220510721207e-08,1
4460,processed_500Hz_0001_epo,29,3,0,138.0,0,2.0,resp_left,406.0,SP,stim_right,SP/stim_right/resp_left,4.487199783325195e-06,0
4461,processed_500Hz_0001_epo,30,3,0,300.0,0,1.0,resp_right,593.0,SP,stim_left,SP/stim_left/resp_right,4.534575939178466e-06,0
4462,processed_500Hz_0001_epo,32,3,0,270.0,0,2.0,resp_right,550.0,SP,stim_right,SP/stim_right/resp_right,-1.4067829847335815e-06,1
4463,processed_500Hz_0001_epo,34,3,0,434.0,0,2.0,resp_left,724.0,SP,stim_right,SP/stim_right/resp_left,3.7374234199523923e-06,0
4464,processed_500Hz_0001_epo,40,3,0,330.0,0,2.0,resp_right,664.0,SP,stim_right,SP/stim_right/resp_right,-1.9775112867355344e-06,1
4465,processed_500Hz_0001_epo,41,3,0,290.0,0,2.0,resp_right,716.0,SP,stim_right,SP/stim_right/resp_right,-1.3800854682922363e-06,1
4466,processed_500Hz_0001_epo,42,3,0,176.0,0,2.0,resp_right,509.0,SP,stim_right,SP/stim_right/resp_right,5.391957759857178e-06,1
4467,processed_500Hz_0001_epo,44,3,0,196.0,0,2.0,resp_right,447.0,SP,stim_right,SP/stim_right/resp_right,-7.349030017852783e-06,1
4468,processed_500Hz_0001_epo,45,3,0,200.0,0,1.0,resp_left,513.0,SP,stim_left,SP/stim_left/resp_left,5.018929004669189e-06,1
4469,processed_500Hz_0001_epo,48,3,0,418.0,0,2.0,resp_right,730.0,SP,stim_right,SP/stim_right/resp_right,1.0362447500228881e-06,1
4470,processed_500Hz_0001_epo,51,3,0,596.0,0,1.0,resp_left,1017.0,SP,stim_left,SP/stim_left/resp_left,-5.666369915008545e-06,1
4471,processed_500Hz_0001_epo,54,3,0,646.0,0,1.0,resp_left,1011.0,SP,stim_left,SP/stim_left/resp_left,7.402656078338623e-06,1
4472,processed_500Hz_0001_epo,56,3,0,90.0,0,2.0,resp_right,496.0,SP,stim_right,SP/stim_right/resp_right,1.1440104246139527e-06,1
4473,processed_500Hz_0001_epo,59,3,0,286.0,0,2.0,resp_left,580.0,SP,stim_right,SP/stim_right/resp_left,1.4428739249706267e-07,0
4474,processed_500Hz_0001_epo,61,3,0,202.0,0,1.0,resp_right,537.0,SP,stim_left,SP/stim_left/resp_right,8.620368242263793e-07,0
4475,processed_500Hz_0001_epo,62,3,0,122.0,0,1.0,resp_right,533.0,SP,stim_left,SP/stim_left/resp_right,3.0187675952911376e-06,0
4476,processed_500Hz_0001_epo,66,3,0,420.0,0,2.0,resp_right,699.0,SP,stim_right,SP/stim_right/resp_right,-3.6488595008850096e-06,1
4477,processed_500Hz_0001_epo,68,3,0,216.0,0,1.0,resp_left,475.0,SP,stim_left,SP/stim_left/resp_left,4.54788064956665e-06,1
4478,processed_500Hz_0001_epo,70,3,0,122.0,0,2.0,resp_right,500.0,SP,stim_right,SP/stim_right/resp_right,-3.559816837310791e-06,1
4479,processed_500Hz_0001_epo,72,3,0,528.0,0,2.0,resp_right,809.0,SP,stim_right,SP/stim_right/resp_right,-2.4054233729839326e-07,1
4480,processed_500Hz_0001_epo,74,3,0,472.0,0,1.0,resp_left,774.0,SP,stim_left,SP/stim_left/resp_left,1.1783450841903686e-06,1
4481,processed_500Hz_0001_epo,77,3,0,194.0,0,1.0,resp_right,486.0,SP,stim_left,SP/stim_left/resp_right,-2.821599543094635e-07,0
4482,processed_500Hz_0001_epo,81,3,0,628.0,0,2.0,resp_right,906.0,SP,stim_right,SP/stim_right/resp_right,-5.243410110473633e-06,1
4483,processed_500Hz_0001_epo,82,3,0,252.0,0,2.0,resp_right,588.0,SP,stim_right,SP/stim_right/resp_right,-5.914798736572265e-06,1
4484,processed_500Hz_0001_epo,83,3,0,238.0,0,2.0,resp_right,582.0,SP,stim_right,SP/stim_right/resp_right,-2.5934493541717527e-07,1
4485,processed_500Hz_0001_epo,84,3,0,214.0,0,1.0,resp_right,473.0,SP,stim_left,SP/stim_left/resp_right,-2.3455746173858643e-06,0
4486,processed_500Hz_0001_epo,85,3,0,148.0,0,1.0,resp_right,518.0,SP,stim_left,SP/stim_left/resp_right,1.2370758056640624e-06,0
4487,processed_500Hz_0001_epo,86,3,0,422.0,0,2.0,resp_left,745.0,SP,stim_right,SP/stim_right/resp_left,2.2819414138793946e-06,0
4488,processed_500Hz_0001_epo,87,3,0,60.0,0,1.0,resp_right,414.0,SP,stim_left,SP/stim_left/resp_right,2.6971898078918454e-06,0
4489,processed_500Hz_0001_epo,88,3,0,336.0,0,1.0,resp_left,650.0,SP,stim_left,SP/stim_left/resp_left,4.416384696960449e-06,1
4490,processed_500Hz_0001_epo,94,3,0,234.0,0,2.0,resp_left,506.0,SP,stim_right,SP/stim_right/resp_left,3.899154901504516e-06,0
4491,processed_500Hz_0001_epo,97,3,0,1046.0,0,2.0,resp_right,1342.0,SP,stim_right,SP/stim_right/resp_right,-1.8724365234374998e-06,1
4492,processed_500Hz_0001_epo,100,3,0,318.0,0,2.0,resp_left,646.0,SP,stim_right,SP/stim_right/resp_left,-2.080230236053467e-06,0
4493,processed_500Hz_0001_epo,103,3,0,756.0,0,2.0,resp_left,1110.0,SP,stim_right,SP/stim_right/resp_left,7.071250081062316e-07,0
4494,processed_500Hz_0001_epo,104,3,0,348.0,0,1.0,resp_left,671.0,SP,stim_left,SP/stim_left/resp_left,-6.016608476638794e-07,1
4495,processed_500Hz_0001_epo,105,3,0,204.0,0,2.0,resp_right,644.0,SP,stim_right,SP/stim_right/resp_right,-1.5749770402908325e-06,1
4496,processed_500Hz_0001_epo,110,3,0,440.0,0,2.0,resp_right,715.0,SP,stim_right,SP/stim_right/resp_right,4.2359957098960875e-07,1
4497,processed_500Hz_0001_epo,111,3,0,188.0,0,1.0,resp_right,507.0,SP,stim_left,SP/stim_left/resp_right,-3.083656072616577e-06,0
4498,processed_500Hz_0001_epo,113,3,0,148.0,0,2.0,resp_right,493.0,SP,stim_right,SP/stim_right/resp_right,1.5075376033782958e-06,1
4499,processed_500Hz_0001_epo,114,3,0,166.0,0,2.0,resp_right,335.0,SP,stim_right,SP/stim_right/resp_right,-7.171479225158691e-06,1
4500,processed_500Hz_0001_epo,115,3,0,356.0,0,2.0,resp_right,530.0,SP,stim_right,SP/stim_right/resp_right,-3.012622356414795e-06,1
4501,processed_500Hz_0001_epo,117,3,0,258.0,0,1.0,resp_right,454.0,SP,stim_left,SP/stim_left/resp_right,-3.4642472863197324e-07,0
4502,processed_500Hz_0001_epo,118,3,0,150.0,0,1.0,resp_right,561.0,SP,stim_left,SP/stim_left/resp_right,-3.1277790665626525e-07,0
4503,processed_500Hz_0001_epo,119,3,0,358.0,0,2.0,resp_right,700.0,SP,stim_right,SP/stim_right/resp_right,-2.175507068634033e-06,1
4504,processed_500Hz_0001_epo,122,3,0,176.0,0,2.0,resp_right,587.0,SP,stim_right,SP/stim_right/resp_right,7.987526416778564e-06,1
4505,processed_500Hz_0001_epo,127,3,0,464.0,0,1.0,resp_right,948.0,SP,stim_left,SP/stim_left/resp_right,-3.788375377655029e-06,0
4506,processed_500Hz_0001_epo,130,3,0,858.0,0,1.0,resp_right,1104.0,SP,stim_left,SP/stim_left/resp_right,5.169447064399719e-07,0
4507,processed_500Hz_0001_epo,131,3,0,586.0,0,1.0,resp_right,849.0,SP,stim_left,SP/stim_left/resp_right,3.6452126502990723e-06,0
4508,processed_500Hz_0001_epo,132,3,0,210.0,0,2.0,resp_right,499.0,SP,stim_right,SP/stim_right/resp_right,1.8933217525482176e-06,1
4509,processed_500Hz_0001_epo,134,3,0,186.0,0,2.0,resp_right,494.0,SP,stim_right,SP/stim_right/resp_right,-5.379366874694824e-06,1
4510,processed_500Hz_0001_epo,136,3,0,328.0,0,1.0,resp_right,773.0,SP,stim_left,SP/stim_left/resp_right,8.693723678588867e-06,0
