sbj,b0,lambda,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,1.234494273359918,0.8493711595905891,3.351756504294716,0.5900788915934576,0.18764351907719068,0.33062078071939405,0.18619202716297786,0.08062236797168404,-1038.04481338821,-1000.7932732316303
S11_epo,1.1333521890949123,0.05840805654036898,2.868708874064466,0.5818348909274056,0.33957030710719194,0.37252492060810605,0.33952631746435846,0.11110118745591745,541.9474492782914,579.1261140450586
S12_epo,0.826814859378431,0.010208652630009358,2.154852102702503,0.33148808765630916,0.3111276865824723,0.5012825692260664,0.2811356776052104,0.12160673970197527,-53.26427464947175,-15.988638074962637
S13_epo,3.175204726016628,1.8549336007614592,3.8742685530698946,0.677551896300258,0.21776706372675236,0.294675618183787,0.21878258839641432,0.07677129438379063,-895.3296094285527,-858.0180087104022
S14_epo,1.4361619464523305,0.3210288266600625,3.526589832446856,0.5932409305936106,0.21815011363474668,0.3263448910898029,0.21667843499499,0.08194096639758296,-648.7341157509927,-611.4584791764836
S15_epo,1.4817526797585194,0.3810464607862373,3.5565171377594207,0.7471873751650235,0.2735462208407036,0.3901950582951363,0.2726699297823887,0.11741812963712747,147.67050386550304,184.88571696863056
S16_epo,2.0939111062794526,0.8920471751541387,4.111092092970581,0.8625122540002218,0.22964133676715112,0.394846654021461,0.22950350701402805,0.09564572032609057,-124.385519775763,-87.1098832012539
S17_epo,2.1572713959862058,0.31250382227624884,2.564715924265243,0.4987299230594304,0.25606798229591715,0.3923119304802416,0.2574379620295699,0.10588060655080045,382.80940690011386,418.32277002575273
S18_epo,1.0293381535270942,0.9766318493435306,2.474838243504788,0.46161412582254313,0.22484896909156543,0.46808496088134743,0.2135066273702595,0.08367998388925951,-579.1746501700918,-541.8750135635826
S19_epo,0.9843759533620582,0.0988274601052678,2.18085465320348,0.38391317626697025,0.28679688346196486,0.48544318412408444,0.28221870265151516,0.1379059172203727,262.1460727003563,299.3734192757684
S1_epo,0.7374768694891609,0.43204310779327754,2.803248672498759,0.5996256769253154,0.22605878794596734,0.4446221665262091,0.23115330070281126,0.09502426690868394,-563.2139462581991,-525.9503457960512
S20_epo,1.7153017272684434,4.0,3.330679535402133,0.5748094633517409,0.2237386179282198,0.38839047632473866,0.21656114604083665,0.09202942423754275,-1267.657681880118,-1230.3460811619675
S21_epo,0.9371526695081289,0.22704838514322961,4.2719399626190535,0.8201707287322098,0.24035589046939926,0.5442167575692975,0.2182731805098684,0.10882156389797346,-428.14006731020874,-391.4051104531224
S22_epo,1.0052856445374996,0.014934669476831306,1.8781136327772052,0.24085304428712134,0.25265677527654673,0.5777365666516436,0.2312408801020408,0.12805616584049478,129.12765915331516,166.2940914999432
S23_epo,0.8710498308187292,0.4272914695576056,3.2498484809113815,0.5769335942983328,0.21348195671329845,0.40084347841008655,0.22016624053030304,0.09070570810074631,-751.8260639111569,-714.5987173357447
S24_epo,1.4185781033018745,0.23963149372778061,3.176852688363915,0.6331706098560343,0.22216021588409982,0.3637536963243049,0.21998942550505052,0.08774669191833437,-62.16472737315068,-30.43512518898347
S25_epo,1.617000137009575,0.3538458781345755,3.0564397243156325,0.5324762487521503,0.2337752948378883,0.37337968508648395,0.2329696215770791,0.0971362326928944,-207.30523254656615,-170.10217750231
S26_epo,1.0244932325296796,0.02476324557573888,3.1484023343504433,0.624277535482711,0.26540007659271664,0.39903275322249143,0.2584145199063232,0.09976673120762444,67.32681067595836,103.6675147553301
S2_epo,1.3624495529358525,0.46194466501072184,3.738234497804047,0.7185669809024389,0.2268749055377131,0.4608272282056065,0.2222621336422846,0.10899589843873768,-293.9338306581305,-256.65819408362137
S3_epo,2.204633495184318,4.0,2.9659275911022704,0.5070592737459065,0.18344579745863868,0.3920649107388651,0.18260939107510288,0.08235166414549065,-1144.7389675816657,-1107.6217158382628
S4_epo,1.2675119537438697,1.0581151136282307,3.589824426016827,0.6946216253443833,0.2789122090325046,0.25722122434215283,0.27763646875,0.06996991560943604,-740.0064277564569,-702.7187791659237
S5_epo,1.5600491895934485,2.50384601979913,3.6320227014178768,0.6950343387906961,0.2163150352121132,0.33379907453401886,0.21699814512072435,0.07619746170857435,-1072.686704541733,-1035.4351643851533
S6_epo,1.7416582329419525,4.0,1.8300882197031878,0.303820088190093,0.2197972724367244,0.30169738180493105,0.21898786801397208,0.06342900776521507,-1155.1996949987335,-1117.9000583922243
S7_epo,2.5142382651914787,1.0985033434994553,3.0275441411024175,0.6178249782712222,0.20653268045677897,0.4990500788775928,0.20604550661914459,0.11088137804493149,61.70474034401315,98.88340511078027
S8_epo,1.0307397750687426,0.2730891036678063,4.582406583972793,0.9069903055457279,0.2452393100943576,0.3978553818461983,0.23580450074701195,0.09920017202781398,-557.9116783774742,-520.6000776593239
S9_epo,1.1986367450096571,0.9097579534491607,3.346785506081501,0.6143068439392925,0.22312511603988466,0.35998039056341685,0.21896400276659958,0.07817215319376404,-744.476887255336,-707.2253470987563
