sbj,b0,lambda,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,1.2734438524323375,4.0,2.660980873992,0.4356892660084011,0.16584867346655136,0.26692979331279565,0.16522282881526104,0.05093957627274257,-1887.263824726565,-1850.000224264417
S11_epo,0.7889162066213686,0.8282957581411475,3.1135106727812167,0.5882818059621886,0.28487704136645214,0.3015613503121606,0.2908627521165338,0.076353547914381,-851.4927912831616,-814.1811905650113
S12_epo,1.069430742352333,1.8579432033686842,2.398450778508537,0.3725603121919118,0.2480805184902942,0.43353938384761564,0.25098060182865733,0.09622653857992058,-732.9550785028389,-695.6794419283298
S13_epo,3.1267574509138587,3.9999998835321637,4.641218392218869,0.8656702892047174,0.21719417389101658,0.26518956299727936,0.217285249626494,0.06894010194008524,-1370.386405840421,-1333.0748051222706
S14_epo,1.628295840463634,4.0,3.597929041771564,0.5486335706324441,0.19757308985363037,0.28456549202384995,0.19233030378486057,0.057692208910352365,-1936.7410592594015,-1899.429458541251
S15_epo,1.1370209338137953,3.999999999776999,2.8337608230991265,0.5293671722398394,0.21253888709917446,0.32574262577387,0.2086549584173387,0.06347725905561867,-1476.053968605439,-1438.8145130450894
S16_epo,1.6368875846486421,3.999999997360839,3.068506248371486,0.5458719600488774,0.18140627667256837,0.3547078549384496,0.17728865625,0.07011838664943267,-1528.8848334639001,-1491.597184873367
S17_epo,1.728417252770031,3.105932202072332,2.5564586588422555,0.4873473622273189,0.2001464985890118,0.353689407179791,0.20754035420816733,0.07669315197516059,-921.2849393983195,-883.973338680169
S18_epo,0.7696991684203149,0.9193928408952073,2.831757055820955,0.612108334756794,0.21017668075161833,0.40290943061467194,0.2129477869770916,0.07958048840396634,-845.3000629281057,-807.9884622099553
S19_epo,0.557191403649161,0.30513430050161394,1.6564061943977557,0.31983850080037446,0.19878906398476817,0.5641839500384844,0.19116810182865732,0.08374299616721287,-764.5011071563646,-727.2254705818555
S1_epo,0.6689523871520833,0.7743874567841207,2.997929965581407,0.6979862396565517,0.22376052010479486,0.4428542171627014,0.22232427354709416,0.08921767167435993,-813.9724922737902,-776.6968556992811
S20_epo,1.2608173285886237,4.0,2.7108469799060444,0.3983087958917621,0.195948845896864,0.3455762009735089,0.1875474352589641,0.0669461015656069,-1771.3188076127824,-1734.007206894632
S21_epo,1.292339633264768,4.0,3.187517576739563,0.5332451819440396,0.19592687994510943,0.5360571808890929,0.17597425717213117,0.0723357417265383,-1334.6665615010402,-1297.5246690659212
S22_epo,1.216053065710946,1.8176023849422855,3.718482173583247,0.7262126264336535,0.2002986091263217,0.37690503192730407,0.19919973437500002,0.0878944587197367,-1062.4247651447843,-1025.1371165542512
S23_epo,0.8497497306573532,0.7618574222260739,3.150051441578367,0.5818037134565012,0.21105725191366542,0.3716020664915235,0.22063178245436105,0.09012138949877459,-892.1100568494054,-854.9070018051492
S24_epo,1.4089684530712419,0.7396359012746316,2.9441788768367663,0.5760380418861556,0.211653431735414,0.31866522190481805,0.21003737277353693,0.07226670250836002,-448.799290060091,-412.95643238887544
S25_epo,0.8819997016400325,0.8346001277851967,2.6214191887931717,0.4582971684249192,0.19165601136343402,0.32731970369501573,0.1958113327938247,0.06907602846576684,-1066.2062148186035,-1028.894614100453
S26_epo,0.7867042691660778,2.127469168830299,2.056866093728618,0.44791603786436573,0.1945475621847622,0.3742909459911925,0.20601153870240482,0.07353129197900436,-1146.5787176642848,-1109.3030810897758
S2_epo,1.15386237723329,4.0,1.9596034135296692,0.3633948511032048,0.1739993585994204,0.34036733434316296,0.1741014845309381,0.0718398685322953,-1516.614487174482,-1479.3148505679728
S3_epo,1.126294946292631,2.083068033588149,2.2464444833116626,0.4431757874503476,0.17001651205108093,0.3642656082153959,0.16969961017382412,0.06845196186774223,-1151.7583535082485,-1114.6041785713994
S4_epo,0.6851940490045214,1.3380599399034878,2.216205267475553,0.41321445448891053,0.21160700746284206,0.34943968294941724,0.24749869791666668,0.07406524906613564,-848.9437758690226,-811.6801754068747
S5_epo,1.2986530432558756,3.480128899399223,3.630769803411754,0.6792741666754281,0.20524242938502205,0.307968323506965,0.2079086188504016,0.0678641252613908,-1464.8655535413138,-1427.601953079166
S6_epo,0.9986140097192515,2.361597228286959,1.8844476522990536,0.3631382816870701,0.19305630126046772,0.2939649526542214,0.19348581538076154,0.05706109317919767,-1316.070111069946,-1278.794474495437
S7_epo,2.747666899576675,3.9999995481964126,2.7633627305374517,0.5585644118633322,0.1859375449219434,0.42713415816226336,0.18453881149598395,0.08671718834204173,-771.4613059795248,-734.1977055173769
S8_epo,1.2742107381445829,3.9999997611652045,3.5647860067843435,0.6435005041219066,0.20671878175448477,0.35105465940115077,0.200211140625,0.07226307303489138,-1602.8085111915807,-1565.5208626010476
S9_epo,1.22558433033206,3.9999999821203125,2.854201610898894,0.4463763667861516,0.1945152479056051,0.3342521617854346,0.18703419135956176,0.056569411598409405,-1782.1626170097206,-1744.8510162915702
