sbj,b0,lambda,delta0,delta1,t0,G2,BIC
S10_epo,0.6986971129158236,1.4959705870738607,3.1897001325289147,0.5592712664482729,0.2320767151771453,-173.94115482487507,-142.88815443975182
S11_epo,0.9987399012051662,1.5095568516615245,2.8327367839653226,0.5148074397083705,0.252190510375238,176.36216315559255,207.4551637540512
S12_epo,2.1001353556957727,4.0,1.7366530719366595,0.22217553425652226,0.1457185437377491,206.37225673499867,237.43528721375625
S13_epo,1.1323006110626859,0.8513881868613671,5.0,0.9143050371125048,0.3664062356801302,108.51893989911771,139.61194049757637
S14_epo,0.5843014936561128,1.1109288157651345,4.823172224807035,0.7857303525529201,0.346113698474798,-538.5771133907754,-507.48411279231675
S15_epo,1.160080901589064,4.0,3.004667986463506,0.5766883566591889,0.21353504404126278,-146.25123561150764,-115.218355977883
S16_epo,1.3606684239912354,4.0,3.700929002288797,0.7231519921870577,0.23271124269407767,-103.33514583084136,-72.26210533873041
S17_epo,2.090092331353115,3.999999972416332,2.527924454758433,0.4840694628779446,0.17757811672772864,302.2779876416572,333.3709882401158
S18_epo,0.9919841755935757,1.6346603974245792,2.7428790139266077,0.6008566950422661,0.16910157966457945,257.6335882732153,288.7265888716739
S19_epo,0.5988776322073659,0.44088850828768655,1.8201283189495494,0.36363802777584814,0.1876977316408615,179.1256824590042,210.18871293776178
S1_epo,0.6838443533863731,0.9742977799315765,3.0340837286214724,0.7091395148137608,0.22301301627268288,126.45070654187329,157.51373702063088
S20_epo,0.8840409833625429,3.8348911331667046,2.495148174393093,0.3238419858760875,0.26718756387521736,-389.87684162245705,-358.78384102399843
S21_epo,1.0028189830770948,3.778647536043869,3.5700130987527894,0.6123779974898899,0.2510883459638854,-300.88504213894373,-269.93346510967797
S22_epo,0.8838694864118214,0.9721795858849425,3.880744428217528,0.7784173927171217,0.2444918727905625,190.07829434210956,221.1513348342205
S23_epo,1.0795301560336636,1.3359559127299279,2.9185934893830527,0.5276845110197341,0.16720920114850252,235.23771907930256,266.240264949516
S24_epo,0.7931718521461919,0.01,3.2906594849989332,0.6702021847940294,0.38251846721026855,552.5279931263949,582.3970411857412
S25_epo,1.001591391420304,1.1043983890697662,2.515856337423586,0.4349422817402747,0.16675779007521463,320.24107882288257,351.33407942134124
S26_epo,1.1671356147072762,4.0,1.824045771463978,0.40270343863030233,0.15210946116789487,-15.145658948244735,15.917371530512858
S2_epo,1.0897820802408835,3.824516577154264,2.1441714238743375,0.4088527529642061,0.18374999966027122,-44.76441388069074,-13.681383375266417
S3_epo,1.0503080424688758,1.8091745505662702,2.3581327878317713,0.4687698732531566,0.181283218782454,255.18027351611937,286.14208596349374
S4_epo,1.194739068027617,3.651480669219933,2.146526855884171,0.40096430768646013,0.1540003802240672,14.951870941214844,46.004871326338105
S5_epo,1.424803661006067,3.950897788556312,3.7943616232036517,0.7358659220719905,0.1990181032019946,-94.3556751407985,-63.302674755675234
S6_epo,1.434021380711024,4.0,1.6484128301806664,0.30856464822468693,0.15042661050542147,161.51815574096932,192.5811862197269
S7_epo,1.2041687815443014,1.3938163008969426,2.887649669495416,0.5767861187763899,0.3154686112053606,435.3102655959671,466.36326598109036
S8_epo,0.7834656703526921,2.474496858650307,4.086118468693289,0.7300668211278292,0.2741406290014023,-367.04457666171555,-335.9715361696046
S9_epo,0.9432813429805108,4.0,3.1402047082195876,0.517747502963989,0.24476869308665095,-391.10063556283495,-360.0076349643763
