sbj,b0,delta0,delta1,t0,G2,BIC
S10_epo,0.5440898206726091,3.2525620497779304,0.5522872720360287,0.23613436992244297,-116.72144399934038,-91.45278525235125
S11_epo,0.6380185483648269,3.0044665260398884,0.5375568950717579,0.2945809455045961,261.85323123304266,287.1506670825679
S12_epo,0.7369513688825653,1.8658057680499862,0.21320838172268147,0.22783715782997396,419.3175344592536,444.5934069142393
S13_epo,0.7739812010823232,5.0,0.8905440874976089,0.4230078058561033,149.14345728510597,174.4408931346312
S14_epo,0.5,4.890398870708685,0.7835013521483882,0.35095824204227327,-562.8339855544913,-537.5365497049661
S15_epo,0.5747327129609544,3.3886348588445765,0.6354003287448646,0.24136384299723876,12.02567010104384,37.27986228615222
S16_epo,0.5695496059988452,3.903723954761155,0.7228443510910991,0.30595847330637915,-18.54330481746884,6.739768359533489
S17_epo,0.6638214053568703,3.2749407027311097,0.6504134583040768,0.3220639091021884,482.8013485014853,508.0987843510105
S18_epo,0.6242040432806653,2.9047957785302607,0.6128613477817021,0.21084181013852177,356.28182618130944,381.5792620308347
S19_epo,0.5258985882455505,1.843478414141782,0.3627480164214571,0.2017187417529145,200.67233520648094,225.94820766146668
S1_epo,0.5982215583836219,3.1245107359014743,0.7275924837613424,0.20139866663222672,265.17057636192163,290.4464488169074
S20_epo,0.5055392003373655,2.9394540047170743,0.39876810277905084,0.2902029882153441,-356.62932158927987,-331.3318857397546
S21_epo,0.5832741045918945,3.869958031040846,0.6467405230348611,0.2611314133672549,-203.90745962458578,-178.71902234485003
S22_epo,0.665021426887725,3.993107453152057,0.7852098818280135,0.2644751836606738,244.93274397798837,270.2158171549907
S23_epo,0.6927402849372023,3.1038793359370507,0.5609416860142539,0.20841045664933427,326.76750381800406,351.99260496579615
S24_epo,0.793965736484222,3.3151381417418713,0.6649749339506119,0.3836528656419808,595.8669580600387,620.186690840421
S25_epo,0.6813678076648422,2.7674110610595317,0.48875776312511554,0.20740846308686825,409.5534229140229,434.85085876354816
S26_epo,0.5481112838660108,2.3067072419119965,0.49300986382831014,0.1993470818490218,162.09593588563183,187.37180834061758
S2_epo,0.5252924150705705,2.603188352873218,0.47626358471041436,0.23512899624620193,16.11620995407473,41.40647091378386
S3_epo,0.6303133933858328,2.755387335866883,0.5529240619039795,0.22620213651277782,366.2470453243129,391.4428423117367
S4_epo,0.5725479542939629,2.4714265231960937,0.4612919019726036,0.19984722358342996,188.79320785197967,214.0618665989688
S5_epo,0.5887792119932589,4.515407085699364,0.8394665299718991,0.28517910418534964,33.94778456137217,59.216443308361306
S6_epo,0.6050102527313624,2.2223809699089214,0.4254705512895442,0.21632574642159613,335.760430155428,361.03630261041377
S7_epo,0.7454088993410155,3.2340331153842725,0.6604806917520556,0.3592089179324913,565.0758590757439,590.344517822733
S8_epo,0.5077302759720883,4.438740471378765,0.8101371778861155,0.29777187063361354,-333.91610411191436,-308.63303093491203
S9_epo,0.5268662224123941,3.4461339227741896,0.5325854631772342,0.26979308549160397,-303.62800765719726,-278.330571807672
