sbj,b0,lambda,delta0,delta1,t0,G2,BIC
S10_epo,0.6851992529446421,0.01,0.5685665020229136,0.7013760531529244,0.3266489124527191,305.4047967349483,336.98158674256
S11_epo,1.1791633525720147,0.07817405521100736,0.21358593935373124,0.5740923083380495,0.3181250003907367,1337.8761814990296,1369.3892763777542
S12_epo,0.7797542357110616,0.01,0.6229025463308857,0.3129640457082,0.34038021511224387,672.296449669018,703.8912902377501
S13_epo,1.314912634034806,0.28919393944756894,0.7656162198958523,0.7828999983792502,0.4149630005270028,564.9196687662476,596.5414635781541
S14_epo,0.9134815875250059,0.01,0.7664374098741711,0.7102321745117842,0.39765854868838163,557.411009195062,589.0058497637941
S15_epo,1.2211767411538597,0.15735605047989495,0.12022699529996062,0.7724663994857506,0.34137331606562604,1174.4291274467746,1205.9696196543223
S16_epo,1.2388766760188628,0.22397931379074046,0.07586524901782324,0.9813419335261855,0.3869140546286116,1032.560674102788,1064.1555146715202
S17_epo,2.521993742192263,0.29193949893838933,0.24317585278581247,0.4646103532725937,0.1018795129906884,1221.5110268600295,1251.640356729156
S18_epo,0.7103929964663886,0.1772021081043076,0.4173332449555118,0.4543118878607901,0.29324956742201136,411.9065821429519,443.5194083425883
S19_epo,0.977756902131572,0.0865403369413854,0.4232649083600274,0.40597703190121615,0.2899352550014832,1014.848333769217,1046.4070078149816
S1_epo,0.7217731408532239,0.3415357909437327,0.03385984366775142,0.5826990618376802,0.2256756792294543,391.6932138815803,423.2790373153167
S20_epo,0.8223793562243817,1.1943573438472053,0.7455058243659453,0.7004746744148305,0.32720503944383666,-160.55934870909823,-128.93755389719166
S21_epo,0.7148945882494286,0.01,0.48755481196873274,0.9039771051678244,0.3258203472270538,308.39044316938725,339.5329981873432
S22_epo,0.8955557306201284,0.01,0.7124203083605456,0.2818931613672569,0.3164465661760547,913.0773950770833,944.5813240503995
S23_epo,0.636976537057051,0.01,0.6137255876025806,0.6566638892721707,0.30001615752962557,291.91773004010264,323.46732143123523
S24_epo,0.9849295746863216,0.01,0.29656597671946316,0.6611201703784473,0.39910146366196736,413.3810550601786,440.3491927919404
S25_epo,1.129148566928201,0.05335478232688924,0.6038989606786155,0.5961022736358428,0.3831640551858968,938.001041728701,969.5324181634411
S26_epo,0.981253888804626,0.01,0.24800031175124063,0.6518645355785955,0.29388426332652795,972.8886185941828,1003.7051926143561
S2_epo,0.8983569696068715,0.01,0.4371761617826324,0.8057840506573806,0.3625448472620416,707.0075706735729,738.602411242305
S3_epo,1.3295449447242247,1.289885575261764,0.6622712829435393,0.552248111474371,0.22839761947551238,144.23693038308568,175.6947760808773
S4_epo,0.9783020813229621,0.43573450249566414,0.4314571895302552,0.7093785965695085,0.32029165532467857,526.9258265622714,558.5296680335243
S5_epo,1.315702868843817,1.1829325280872065,0.4611661231642123,0.720779779385998,0.2160796905846696,198.49812135904662,230.07491136665828
S6_epo,0.8150820804422466,0.8547299048172536,0.42559011138764136,0.3794309964246765,0.2994315368610946,197.1739662410906,228.78679244072703
S7_epo,1.3117166283087678,0.2394823163693768,0.18292936971615206,0.6644911142698424,0.40895987977620424,1146.3860506441238,1177.8991455228484
S8_epo,0.7670872501765522,0.010000088845096417,0.32829005873867967,1.0159315487294205,0.3443753075537439,501.0020542155379,532.6238490274444
S9_epo,0.7386122676445362,0.09649734854555994,0.520593889692301,0.6768110828268092,0.32888701038842033,404.5039619059252,436.0807519135369
