sbj,b0,lambda,delta0,delta1,t0,G2,BIC
S10_epo,0.6612244808124643,0.9957684280428969,3.062863087551378,0.5169380411870237,0.2324998552295913,-181.4976312680328,-149.91180783429638
S11_epo,0.8253925940205887,0.7165161687677715,2.887538629626905,0.5169724999851762,0.27308615534136765,200.91033739871634,232.53213221062288
S12_epo,2.383902854792625,2.185615264339139,1.7573007219879038,0.2540284281980736,0.08415273456831178,220.59601959809726,252.19086016682942
S13_epo,1.0942636891453403,0.6516416284541711,5.0,0.916285792907826,0.3688220464386016,116.53307072908453,148.15486554099107
S14_epo,0.5656575651501845,0.7603633593794422,4.81304598092012,0.779856250294377,0.34655145403789245,-586.7060892235867,-555.0842944116802
S15_epo,1.1275199445363462,2.2199847313467305,2.915620799678774,0.546998955337771,0.19434118468035766,-178.7415190940272,-147.17377886264174
S16_epo,1.0577815015855807,1.640508119813215,3.4536093863534276,0.6367663767915825,0.23292789113676132,-97.86982471084923,-66.26598323959632
S17_epo,1.332674038681439,1.25273522102423,2.726140759627303,0.5291278478230768,0.19796788554053948,369.0511614473744,400.67295625928097
S18_epo,0.8201029949100651,0.7931560025261067,2.7340708204432227,0.581533184218408,0.18910156917963625,290.2334107557766,321.8552055676832
S19_epo,0.6036063650738221,0.5096076943887429,1.7068222389794085,0.33668424904955213,0.18804688236133535,191.88111746018453,223.4759580289167
S1_epo,0.7445621343339404,0.8356020698685384,2.8709145275919092,0.6699576537707862,0.19411694102927,227.0794156591718,258.674256227904
S20_epo,0.7865462583270953,2.138274908519992,2.605857553915786,0.34526722162184365,0.267938173987761,-436.27477524573493,-404.65298043382836
S21_epo,1.0318538621696927,2.3421977986926685,3.4749813149831748,0.5890695020344635,0.23278565562960674,-330.9621152207357,-299.476568621066
S22_epo,0.7545157685527145,0.44295253384598204,4.021522520757621,0.797457221607589,0.2625609385468486,208.45459091492236,240.05843238617527
S23_epo,0.8712014716062447,0.5686716640569808,3.025975692570384,0.5513789015313032,0.18836569011407941,277.921623685463,309.45300012020306
S24_epo,0.7976548108122394,0.01,3.3149212457248804,0.6649522641930983,0.3834123045825173,595.8245232361185,626.2241892115965
S25_epo,0.8501533894725591,0.5522759345802892,2.6131522922783326,0.45604816343153587,0.18641564076424644,356.4583287286131,388.08012354051965
S26_epo,1.242723935127072,2.4889544945470226,1.8586642978658983,0.40750041582721813,0.131565399883613,-18.357734065597903,13.237106503134271
S2_epo,0.8861028723894983,1.9239681544363858,2.092444884964918,0.3956886837323131,0.19271572212929194,-57.25841240253189,-25.645586202895466
S3_epo,0.8485473032271587,0.8751353519738728,2.490832115484027,0.5041566508781209,0.20198804064159184,292.8558246597911,324.3505708940708
S4_epo,1.3258371231890764,2.3204422823182416,1.9361893196143156,0.3740251331656621,0.11767446234183525,19.028966765043304,50.61479019877972
S5_epo,1.438914462370509,2.2378916426982185,3.747284326920491,0.7148976746828195,0.17793012400861927,-127.19325574880413,-95.60743231506771
S6_epo,1.1849378703191658,1.8225319652932896,1.7352554952154675,0.3374358230324758,0.14995987024884352,185.70052464320366,217.29536521193583
S7_epo,0.9817165211116284,0.6334309904218944,3.152751377702687,0.6411714320542552,0.33739845025418114,490.43414839707305,522.0199718308095
S8_epo,0.618550827158491,1.0350541936454272,4.25769752151651,0.7678613678308167,0.291171909032346,-384.161184734087,-352.5573432628341
S9_epo,1.0934289311936798,2.9462029702953445,2.993383630615635,0.47834723371636245,0.22476561432039555,-466.47624591803793,-434.85445110613136
