sbj,b0,lambda,delta0,delta1,t0,G2,BIC
S10_epo,0.6851893437129213,0.01,3.798498098430785,0.7013713757535477,0.32664936907921965,305.39235732468217,336.96914733229386
S11_epo,1.1753788766574749,0.07984642488598465,2.856601098884174,0.5738049036340264,0.3195702466080628,1338.3032907217632,1369.8163856004878
S12_epo,0.7797610798994414,0.010001023379377465,2.063798573860824,0.3128511598691537,0.3403788348018234,672.2807409325563,703.8755815012885
S13_epo,1.6751139256111554,0.6857768669780616,4.256558125267143,0.7633347244417026,0.35831904243490276,560.7602020453547,592.3819968572612
S14_epo,0.9134660232440539,0.010000001673970136,4.03722772171228,0.7102418354272885,0.3976571756682378,557.3916721382461,588.9865127069783
S15_epo,1.243508984582665,0.19684267939658617,3.6702267143635776,0.7710447798081541,0.33795679859859423,1174.4774044419635,1206.0178966495112
S16_epo,1.3276410525204438,0.34331980917825144,4.564844140377341,0.974294577257798,0.37110575291080883,1031.0182102723975,1062.6130508411297
S17_epo,3.139768192567861,0.6171285353536611,2.3469661569802094,0.45766566537950515,0.05,1224.6079901769674,1254.737320046094
S18_epo,0.7233848842178652,0.2486729808194057,2.5068272511418668,0.45376310001273484,0.29308591869693906,409.6236764070333,441.2365026066697
S19_epo,1.0311499396444153,0.1473432904669275,2.28039159860562,0.40358063433393976,0.273718583255609,1014.8784944979236,1046.4371685436881
S1_epo,0.7495512061046177,0.5209185601585276,2.6845464385786975,0.5757592104789011,0.22511391025812363,385.88730611176175,417.4731295454982
S20_epo,1.1379491632536016,3.104299969853651,3.898196615404999,0.6929024886346827,0.3053515480849545,-175.95743645176418,-144.3356416398576
S21_epo,0.7148843762173805,0.01,4.650505773396089,0.9039697177361234,0.32582036399608155,308.38189809020565,339.5244531081616
S22_epo,0.8955108235916167,0.01,2.0105974844814005,0.2818955346992286,0.3164616351925375,913.0564728383071,944.5604018116233
S23_epo,2.139331837529745,4.0,2.8899990566564036,0.516173913382413,0.12989575214553953,347.73534840127513,379.2849397924077
S24_epo,0.9848694380851338,0.010000012290396695,3.3415819816482095,0.6612486386333032,0.39910174628254913,413.37800416052215,440.346141892284
S25_epo,1.129068217479734,0.05503711332480808,3.3476787029179143,0.5957548430003745,0.3832186801583115,938.0844390375406,969.6158154722807
S26_epo,0.9812082935798456,0.01,3.2498560840266433,0.6518397063444614,0.29388862760939927,972.8844887524402,1003.7010627726135
S2_epo,0.9343346611223817,0.033316087880955685,4.1079121022197365,0.7957593868139505,0.34782349247936234,707.3020713001887,738.8969118689208
S3_epo,1.898871133054751,3.501534960255782,3.012470061664646,0.5174997772044378,0.2085880274205231,140.90829872053737,172.366144418329
S4_epo,2.5110669891944735,2.7956271114862976,3.1271869435794706,0.590958962682129,0.14362731118548205,523.501159806564,555.105001277817
S5_epo,1.8921821201555051,3.257505016168748,3.613966813283496,0.6890020486808073,0.19604957239519422,188.73470733990288,220.31149734751455
S6_epo,1.0901102231449535,2.240523555656795,2.0853661183080883,0.363471732489302,0.27847652153745306,171.1509459492313,202.76377214886773
S7_epo,1.4281430294018989,0.38357254907326077,3.210123336814623,0.6579854460396802,0.38755772512778697,1144.6746608866124,1176.187755765337
S8_epo,0.7670585068507365,0.01,4.999936871071432,1.0142676820823273,0.344375054612309,500.99353934270783,532.6153341546144
S9_epo,0.7415192461619244,0.11122163024200661,3.638759785884405,0.6771452042260392,0.32879161567408516,404.2639286982363,435.840718705848
