sbj,b0,lambda,delta0,delta1,t0,G2,BIC
S10_epo,0.8423567041478603,2.2947840576546747,2.8671820221398523,0.4781298908586893,0.21253905143396995,-188.6712379072533,-157.0854144735169
S11_epo,1.0189047995631357,1.5807430743182185,2.78751418489821,0.4998232004434955,0.25254579902403496,189.96165733136598,221.58345214327255
S12_epo,1.845094678399051,3.6477914858508136,1.797275611486901,0.24296596398604597,0.16512359148702233,228.74832248484418,260.34316305357635
S13_epo,1.1466757894985986,0.9353308902397276,5.0,0.9188430483129371,0.3663671842938791,118.89287614995243,150.514670961859
S14_epo,0.699065328556314,1.8610362142185637,4.63326778742693,0.7493394657166412,0.3301630287439229,-586.0375875853559,-554.4157927734494
S15_epo,1.1363493580993327,4.0,2.928360432350131,0.5509989935820429,0.2140805533517904,-175.276833446284,-143.70909321489853
S16_epo,1.3473595038066086,4.0,3.350757787979979,0.6193872537557298,0.23277585645107607,-120.73928197373215,-89.13544050247924
S17_epo,1.772959699798817,3.279374922562647,2.6257995656070037,0.5096428249722278,0.1979054568191157,344.41476831009754,376.0365631220041
S18_epo,1.0075184045143852,1.6933197959737452,2.6359470031090924,0.5635257093699259,0.16924361621023898,281.42601466485536,313.0478094767619
S19_epo,0.6099293559475822,0.5346229988417386,1.7320161729361996,0.3415939004436027,0.18729658187043127,189.7819590356866,221.37679960441878
S1_epo,0.9056567150391844,1.8493589200978011,2.730103401151062,0.6365880709035481,0.1797818200475987,205.78957916911477,237.38441973784694
S20_epo,0.8946240831429073,4.0,2.566460559738365,0.3417365721899447,0.2676320773986265,-454.4387788079062,-422.81698399599964
S21_epo,1.1060174119348978,4.0,3.434919993789441,0.5821141271717254,0.23557015448633276,-340.1313151159968,-308.64576851632717
S22_epo,0.8893353445371907,0.9598371555979449,3.9378070608844213,0.7805237788225388,0.24270562585284003,201.75685729830272,233.36069876955563
S23_epo,0.9625176096068049,1.06207063006152,2.98697864518567,0.5457909070470539,0.1864818030516314,261.3526728952491,292.8840493299892
S24_epo,0.7976377349537507,0.01,3.31492464670073,0.6649533827168373,0.38341500305617576,595.8234584743303,626.2231244498083
S25_epo,1.0114438513335424,1.1620769134684032,2.5008180571462795,0.4338997075359178,0.1670194664243647,344.89673489700056,376.5185297089071
S26_epo,1.1836711193432257,4.0,1.9253452967436206,0.41974858125375886,0.15214118542163443,-14.786513192029487,16.808327376702685
S2_epo,1.0994998744862294,3.999961702827849,2.0132850182136948,0.3778125381504528,0.1832422084999759,-56.21445944384006,-24.60163324420364
S3_epo,1.0341491970144734,1.7816603467473004,2.378287633154808,0.4838938379089591,0.1817386888521248,289.0695310684995,320.5642773027792
S4_epo,1.304111819597714,4.0,1.9855304898090325,0.3787076712267677,0.1390596211524827,31.064036268018853,62.649859701755275
S5_epo,1.4421529299728673,3.9983734721970174,3.7341616616022306,0.7063108370276758,0.19907464973434985,-124.38201887831192,-92.7961954445755
S6_epo,1.4435327531041917,4.0,1.7232736248693716,0.3341933776230812,0.15084434882777073,182.96848180159287,214.56332237032504
S7_epo,1.3624819786377886,1.6890057466539976,3.024470227089873,0.6132025091586806,0.2958155671782116,482.77969984604783,514.3655232797843
S8_epo,0.7868996004142517,2.4431153262425167,4.052898832611165,0.7240167087289124,0.2745312080420832,-397.0580132996972,-365.4541718284443
S9_epo,0.9539859699458665,3.9999832825305024,3.0692534707899655,0.48637990956006355,0.24544757614943558,-457.18838722305867,-425.5665924111521
