sbj,b0,lambda,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,1.0358423451601946,0.30593212444803497,3.399902723547302,0.6078548007711391,0.18765179701050794,0.3252178828654283,0.18423198745479205,0.07756863051575562,-1149.7419761849055,-1111.8498281757716
S11_epo,1.1282095511405545,0.05176652940489183,2.8738300727009203,0.5776298131304903,0.33980383696748734,0.371855127296957,0.3389452838827839,0.11069576298948205,564.9234174561466,602.739131310616
S12_epo,0.8180294484024799,0.016575099547585802,2.0587210565826117,0.31293940299757445,0.314950545302636,0.5160414193105598,0.2821013935810811,0.12085037684619715,-27.523801256667273,10.39000742581133
S13_epo,2.156698437167483,0.5613579788687789,3.8788668367562478,0.6693224911148056,0.21982299346869338,0.29793440334873655,0.22001437892025089,0.0777123078999051,-918.228834462565,-880.2826806882772
S14_epo,1.3690900047700092,0.20244151628404128,3.548477340567748,0.585871963710807,0.21922408862595105,0.3229959162355348,0.21699642454954954,0.08073132307114884,-776.0170983840061,-738.1032897015275
S15_epo,1.4034418475811146,0.23518702477281533,3.5445379456004114,0.7401513625653522,0.2730578742345182,0.3864968868893294,0.2715396601775957,0.1154951055123321,177.3202421745215,215.16883282357867
S16_epo,1.7324635206728378,0.40075691147459597,4.15292062217863,0.872027770309371,0.23210553589335986,0.3944998397779494,0.23046396396396396,0.09582928767600397,-117.72438606834609,-79.81057738586749
S17_epo,2.0589661099851346,0.22360624218542088,2.4832700368453238,0.48550826779818085,0.25507689924553045,0.3978844727782146,0.2560608016304348,0.10572740327474571,444.29491081909055,480.45010666204246
S18_epo,0.8793874151702742,0.39757924342506523,2.44634041635917,0.4435493229843134,0.23238476474818817,0.5007188133850019,0.21164807282315978,0.08342456699377143,-587.8703552606779,-549.9349638211143
S19_epo,0.9839414513733608,0.09131127546248867,2.290461218931421,0.40549508720599114,0.2873273801397444,0.47719261855570366,0.2822631862522686,0.1374250579164501,243.67795463118154,281.548363486099
S1_epo,0.7196689848141293,0.33780201513836317,2.7188373022142724,0.5829909942664921,0.2264151610933069,0.4460644346494368,0.23145548003158847,0.09509615633497598,-636.2991659293752,-598.3961778088916
S20_epo,1.544089727808049,2.01223533672986,3.5734317847503654,0.6281313800747235,0.22032117518372052,0.3863297446362855,0.21776610103046593,0.09274629772214411,-1381.6467071649217,-1343.7005533906338
S21_epo,0.9196425424391985,0.17335581396187177,4.277514647468868,0.8149074550850153,0.2412540218257498,0.5389702889772313,0.21703419317061143,0.10727665935149928,-513.7013798902663,-476.33031386871914
S22_epo,0.9943428594755094,0.0245134844066579,1.9618400905399132,0.26962489077475826,0.2513253151035491,0.565817914408206,0.23017465596330275,0.1263892779627554,102.61641465053242,140.4211294185119
S23_epo,0.8259893338398867,0.2526165725193982,3.2797926989577255,0.5850538726851331,0.21363741106313497,0.4042073339492337,0.21897133522727272,0.09001389190165124,-835.5051362231911,-797.645626553832
S24_epo,1.3713987510815504,0.17836997446017347,3.1218124788001402,0.6115517633001859,0.22041307138753974,0.35284083013625445,0.21803355823863638,0.0848060376110081,-89.9899467177442,-57.62818143963003
S25_epo,1.5459230188777584,0.23340183273795181,3.1404367390643597,0.5482866396583215,0.2350776269827751,0.3773520985954711,0.2335635977417883,0.09739835358441486,-221.28571067989193,-183.44805895820383
S26_epo,1.0218516377127318,0.01629454745229176,3.173762542201275,0.6334277303464397,0.26468314740509086,0.39697618160394854,0.2579817598684211,0.09989722075440982,85.30313554979065,122.2830243739985
S2_epo,1.257839670627355,0.24915785427822992,3.7556427629017217,0.7172653936815828,0.22885846886479225,0.45870040708707244,0.22216432995495497,0.10870564636462043,-315.1366422682934,-277.2228335858148
S3_epo,1.634672184521503,1.4891993372428647,3.0659159321004648,0.5250314978008365,0.18371682956117996,0.3962534823613553,0.1836146556712963,0.08470170725632627,-1242.3720915335794,-1204.6226766962295
S4_epo,1.1234842246041272,0.564387384978688,3.586706137069493,0.6850529977425361,0.28012569965326817,0.2653680354626229,0.2770493901753597,0.0696767710641421,-814.3428663737567,-776.4182566082532
S5_epo,1.3114237456659674,1.1800262454001733,3.784303670041002,0.7215446582057198,0.21693722363604825,0.33583138910396787,0.2182082674050633,0.07747749707054563,-1184.4225298155018,-1146.5303818063678
S6_epo,1.1699035581781525,1.2785343275260834,2.032061322221626,0.35551848026446853,0.22093600866748211,0.30124529342297696,0.21773346330789944,0.06308366017006825,-1262.6666707572942,-1224.7312793177305
S7_epo,1.923379710820583,0.4299694795807877,2.955597461845806,0.6023372617964488,0.20788403045688325,0.4961610367240593,0.2058374971382784,0.11009498562201267,97.79721741736148,135.61293127183092
S8_epo,0.9947707061116553,0.1731780893410061,4.460085909394065,0.8861307875424617,0.24628938562429667,0.3973249356503963,0.23629498487903228,0.10002546278480638,-568.9611803718755,-531.0150265975876
S9_epo,1.0391675721685565,0.42086585427256246,3.316003468893631,0.6010196882644573,0.2271705960721761,0.36642722163769287,0.22002150203435805,0.07905437664167574,-804.0534405513076,-766.1612925421737
