sbj,b0,lambda,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,1.063002790616101,1.93820245302219,2.6570757104472884,0.43904071910326603,0.16552142685225052,0.26203732483035974,0.16470062894855597,0.04943898439716189,-2099.923018150267,-2062.0200300297834
S11_epo,0.7718698716160648,0.6176561252640957,2.9127768250589576,0.5217389478621559,0.2852486113381837,0.30065854397584124,0.29159445004480283,0.07625660141468124,-953.8194575662433,-915.8733037919554
S12_epo,1.0125188993231353,1.1161854558872557,1.8472813245503157,0.2398827909383584,0.22854818215505135,0.43972786558336563,0.2533273507882883,0.09973862660643494,-600.807454304631,-562.8936456221525
S13_epo,2.0363549681930966,1.2145113062778208,4.636426610461525,0.854470573642706,0.2171229111469792,0.26775112750975594,0.21727293346774193,0.06972669115099923,-1487.8073902784079,-1449.86123650412
S14_epo,1.8320080502686202,3.0,3.5326599314817115,0.5540882303537122,0.1936419184104653,0.2786033227360564,0.19176486895161293,0.05666578102145914,-2201.543231577596,-2163.5970778033084
S15_epo,0.9968334492704386,2.026864799901818,2.9907581430966332,0.5615671560701461,0.21114363032694486,0.3231862837301962,0.20844369904891305,0.06307530734221975,-1646.2303320052877,-1608.349043727625
S16_epo,1.4265995964514142,1.984503215502055,3.205220020675993,0.587271497452349,0.17861689645432383,0.3486351893102988,0.17705576944694246,0.06942827622692631,-1668.7569858571424,-1630.832376091639
S17_epo,1.2508586344414476,1.183141280927559,2.7487279115924155,0.534366520970208,0.20991287117940433,0.3575807112028364,0.20703224406362006,0.07732781333442251,-1028.527605061724,-990.5814512874362
S18_epo,0.7344456882002883,0.6225190275973409,2.778418564766662,0.5896065294268267,0.20942595664909142,0.4012662717906072,0.21203204805107526,0.07881884987584764,-936.5899819799231,-898.6438282056353
S19_epo,0.5576341854978273,0.2548221156989644,1.7804442355342518,0.3505192258877913,0.1987890620895172,0.556757298576728,0.1911642595720721,0.0832770785104648,-851.6495593168443,-813.7357506343657
S1_epo,0.7044167931380823,0.6707827114074592,2.9487393169977363,0.6878268728290944,0.20165772841188212,0.43273835045242526,0.2210854448198198,0.08902928652615728,-844.9544779471574,-807.0406692646789
S20_epo,1.3938356165993189,3.0,2.308471119435083,0.3104288926289099,0.18939385141049203,0.3473703425601204,0.18703694836469534,0.06930350295988677,-1934.5441674482126,-1896.5980136739247
S21_epo,1.4492355444887837,2.84284970978602,3.278915819492397,0.558075475409396,0.1876953748235562,0.5267043872705711,0.1769564341620626,0.0744303517816921,-1484.9527586619993,-1447.1701027423956
S22_epo,0.9958512572057847,0.7766471749880637,3.783057226916841,0.7464465829183158,0.19979145421543754,0.3699521708156259,0.19619016973920864,0.08484398673561243,-1184.582991391857,-1146.6583816263535
S23_epo,0.7863248421254363,0.4389901470863005,3.0460460404538794,0.5543091358746007,0.20874923809736673,0.3722196679526614,0.21937291856751825,0.08921698792383223,-955.6783932030628,-917.8407414813747
S24_epo,1.2211503637166958,0.33942135486957464,3.015502718059065,0.5985668372580347,0.2140979535234703,0.3159280312616403,0.21117017663043477,0.07138500965602666,-485.77631691228356,-449.29671774171004
S25_epo,0.829141161540913,0.521244820996286,2.624042555561615,0.45838365975848316,0.19169747899284023,0.33317665133591046,0.1940898717517921,0.06938226562695379,-1171.2446488654336,-1133.2984950911457
S26_epo,0.7908686594846979,1.7492571109860109,2.053941988576865,0.446498534359527,0.19451550893694863,0.3719092115944449,0.20509960585585585,0.07235203703395131,-1308.2514315736685,-1270.3376228911898
S2_epo,1.0178923774519608,2.1620738576344163,2.0131146589991404,0.3823846560836119,0.1726844214724937,0.3376246172241068,0.17307304757630163,0.07129165524426456,-1709.7766223767933,-1671.8412309372295
S3_epo,0.9763600754045595,1.060940726658566,2.3965964659589707,0.48607516807913415,0.17235984951848804,0.36971138867055003,0.17103221220128675,0.07013744794930746,-1242.3197879668342,-1204.5260924856984
S4_epo,0.7168881508283266,1.191939176122426,2.261095998709837,0.43143294430428075,0.20280427680253152,0.36771947832419244,0.24718064643501805,0.07400472639903607,-941.1150213288898,-903.2120332084062
S5_epo,1.1925214349426925,1.978471877760131,3.8736022479886216,0.7394716792151135,0.20490154116575504,0.32239102652792573,0.20693556802797833,0.06965586528892731,-1600.3919452355099,-1562.488957115026
S6_epo,0.9193935553594887,1.4643634579370082,1.8321263344968277,0.3537708883433624,0.192865175720469,0.29908517353366637,0.19393764076576578,0.057935418248205965,-1428.412414492188,-1390.4986058097093
S7_epo,1.7068447879944815,1.165770359179689,2.7925977493417125,0.5625062680497633,0.1885082082505587,0.43843858617427217,0.1865220696074007,0.08861599494613298,-768.265499817117,-730.3625116966333
S8_epo,1.3088571511284854,2.6874288690703274,3.5107873043012168,0.6128301934172329,0.2022085339249369,0.34028164255511195,0.19963702787769785,0.07094274735547079,-1795.2332338709675,-1757.308624105464
S9_epo,1.3466080648548706,3.0,2.8132337686171054,0.4478604324743779,0.1871387332215213,0.32537644470211147,0.18496723790322578,0.05580045117248092,-2063.1552796989336,-2025.2091259246456
