sbj,b0,lambda,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,1.0667327419002564,1.9515468203325077,0.8202069100965471,1.1289730610490583,0.16551258034068322,0.2620295671871566,0.16470062894855597,0.04943898439716189,-2099.971785099903,-2062.0687969794194
S11_epo,0.7670834075982541,0.6191082015053402,0.8280230847658598,0.7986227270219279,0.28525911829282985,0.30066114814910416,0.29159445004480283,0.07625660141468124,-935.6952378874408,-897.749084113153
S12_epo,0.9412367473470222,0.8236958163659375,1.008108866244388,0.017793409094547765,0.22860136152881097,0.43972117557095414,0.2533273507882883,0.09973862660643494,-591.5643307454656,-553.650522062987
S13_epo,1.9417669975908953,1.1748915044500992,1.0721781418782113,1.713827920033385,0.21719244350155908,0.2677968400091004,0.21727293346774193,0.06972669115099923,-1437.1212098890294,-1399.1750561147414
S14_epo,2.2991143542193058,3.841937964521633,1.2399804090433868,0.9332103273925718,0.1919494768901132,0.27724984601773783,0.19176486895161293,0.05666578102145914,-2204.1390125019266,-2166.192858727639
S15_epo,0.9950313329249174,2.033630602291736,0.6686861872327603,1.2673268153247248,0.21113275584906133,0.32317598599568664,0.20844369904891305,0.06307530734221975,-1637.85898725453,-1599.9776989768673
S16_epo,1.4218815477262523,1.987839660844731,0.771610103452077,1.3547111126411995,0.1786510679453151,0.3486697343779491,0.17705576944694246,0.06942827622692631,-1659.4799988141647,-1621.5553890486613
S17_epo,1.2474730544123616,1.1874863985900088,0.5429235453804635,1.1839641479656695,0.2099050695748899,0.35757377831271,0.20703224406362006,0.07732781333442251,-1017.4077414211996,-979.4615876469118
S18_epo,0.7302960486691198,0.6275456118040789,0.4090322933329714,1.0208939119849567,0.2094506890846664,0.40128488708425486,0.21203204805107526,0.07881884987584764,-915.4365507632001,-877.4903969889123
S19_epo,0.5574633642518791,0.2605006216607605,0.37034377589178513,0.6634242558727299,0.19878906200670607,0.5567608069044392,0.1911642595720721,0.0832770785104648,-847.3409592936787,-809.4271506112001
S1_epo,0.7013425126864723,0.690368635088178,0.19883812860399397,1.1302912227889048,0.20165655698303472,0.43274071089597765,0.2210854448198198,0.08902928652615728,-818.2681737166465,-780.3543650341679
S20_epo,1.6066894650283219,3.571182478759742,1.0496564237185484,0.45282320631680195,0.187557497245869,0.3455482375199804,0.18703694836469534,0.06930350295988677,-1936.5597286474695,-1898.6135748731815
S21_epo,1.4286088769224001,2.8417081937776585,1.094270142390989,0.544228967210415,0.1875572845295429,0.5265021130303444,0.1769564341620626,0.0744303517816921,-1457.166373618284,-1419.3837176986804
S22_epo,0.9741086317769494,0.7607012684867929,0.7383267232154263,1.2708666925481509,0.19992036938269978,0.3700998371167205,0.19619016973920864,0.08484398673561243,-1146.4663273310953,-1108.5417175655919
S23_epo,0.7801255119241697,0.43853544926312493,0.8128081210470817,0.945030562708183,0.20875443874669863,0.3722221102879456,0.21937291856751825,0.08921698792383223,-935.564493943681,-897.7268422219929
S24_epo,1.186351425748364,0.32830410209223776,0.6110914080415079,0.7862821499386421,0.21412459540395623,0.315950300871991,0.21117017663043477,0.07138500965602666,-441.8825380565818,-405.40293888600826
S25_epo,0.8283920769100452,0.5271427984755883,0.7338926206182131,1.0150210175198138,0.1917047658192657,0.33317766635271295,0.1940898717517921,0.06938226562695379,-1163.6820612056372,-1125.7359074313492
S26_epo,0.7890116219486458,1.754615037216913,0.2627075752254782,0.725024716023724,0.194511151814572,0.3719053080418394,0.20509960585585585,0.07235203703395131,-1298.1354060203741,-1260.2215973378954
S2_epo,1.0167924401733799,2.1721326358208297,0.4957756423517047,0.5860366109625914,0.17267504322415217,0.3376181196855632,0.17307304757630163,0.07129165524426456,-1700.2913676768087,-1662.355976237245
S3_epo,0.9704381852355142,1.0659241364356782,0.46387891591807673,0.6748343317739266,0.1723385479224985,0.3696855606696132,0.17103221220128675,0.07013744794930746,-1221.4476195204793,-1183.6539240393436
S4_epo,0.7170524019121025,1.19466875936818,0.45481633217841777,1.0835184824619872,0.20280423667468828,0.3677191808938444,0.24718064643501805,0.07400472639903607,-940.1275621467184,-902.2245740262348
S5_epo,1.2229131524896961,2.0351828803449576,0.8417679980927968,1.3829926487965762,0.2003568229116381,0.32027297859459924,0.20693556802797833,0.06965586528892731,-1573.8964990044033,-1535.9935108839195
S6_epo,0.9186499751162747,1.4742707919383218,0.4211767232789482,0.5554705871338426,0.19285197814583355,0.2990770823357327,0.19393764076576578,0.057935418248205965,-1419.199506165404,-1381.2856974829253
S7_epo,1.6730488941594044,1.1569089390483678,0.539512558520587,0.8593957600501927,0.18852439464512738,0.4384584443423005,0.1865220696074007,0.08861599494613298,-731.9662992819252,-694.0633111614416
S8_epo,1.2986003764680807,2.694417702848964,1.0289001380747966,1.0131235450728195,0.20210087549462163,0.34017764986552557,0.19963702787769785,0.07094274735547079,-1774.4570125519945,-1736.532402786491
S9_epo,1.5400648043390885,3.5638129048467357,0.9867616323057244,0.7153231303636816,0.18578780233173559,0.32417689999659816,0.18496723790322578,0.05580045117248092,-2060.103167258623,-2022.1570134843353
