sbj,b0,lambda,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,1.608072575236646,1.969359170696563,3.350447181320443,0.598363830347709,0.18396520189709142,0.3213446063651195,0.18423198745479205,0.07756863051575562,-1178.7891187001362,-1140.8969706910023
S11_epo,1.1264248103139602,0.05127134775947486,2.8727312744872844,0.5772629369182966,0.3399264548230663,0.371911421847057,0.3389452838827839,0.11069576298948205,565.1780456121958,602.9937594666652
S12_epo,0.8199363025167848,0.02067933741263328,2.0583214661779716,0.3127897105015069,0.3146761780438987,0.5157258859557513,0.2821013935810811,0.12085037684619715,-27.561898153496887,10.351910528981715
S13_epo,3.103502439003486,1.7905773992479987,3.9563743407077414,0.7044951912184246,0.21895470377886955,0.29734688215688126,0.22001437892025089,0.0777123078999051,-951.7588655118661,-913.8127117375783
S14_epo,1.469289337173405,0.36577011365388534,3.57152262913022,0.5938555810653527,0.2183655178935383,0.3222608195164478,0.21699642454954954,0.08073132307114884,-786.6431712096239,-748.7293625271453
S15_epo,1.4629841511314465,0.3424791500252736,3.548419300967197,0.7420209062038675,0.2722777242688213,0.3859378492403156,0.2715396601775957,0.1154951055123321,174.0347788584477,211.88336950750488
S16_epo,2.0759053685808384,0.8764293950491742,4.228243661501774,0.8924050961268979,0.2305892779827795,0.3932236275146551,0.23046396396396396,0.09582928767600397,-139.69770739731985,-101.78389871484124
S17_epo,2.122664499482428,0.30667758612495327,2.4776155209495068,0.48373304782374066,0.25507582607411494,0.3978834806194127,0.2560608016304348,0.10572740327474571,449.4283823512488,485.58357819420064
S18_epo,1.0205598397346944,0.910436264244855,2.4315315479414887,0.4412360531240664,0.22518958144320753,0.4909864567036169,0.21164807282315978,0.08342456699377143,-611.9310916588033,-573.9957002192397
S19_epo,0.9905426442720604,0.10806898942022693,2.2891197030663353,0.4053103280510234,0.28705794163866893,0.47696938424549257,0.2822631862522686,0.1374250579164501,243.21409718086872,281.0845060357862
S1_epo,0.7452366979350813,0.5088887431659783,2.68798993391109,0.5764373072681925,0.22625469936621717,0.4459631507447081,0.23145548003158847,0.09509615633497598,-641.8869127194715,-603.9839245989879
S20_epo,1.7247929564703215,4.0,3.4478425411129683,0.6036983981784709,0.22495945919263688,0.39129659761947994,0.21776610103046593,0.09274629772214411,-1400.7061917824258,-1362.7600380081378
S21_epo,0.9685395666169512,0.30124524909721884,4.281049560817088,0.8166858634584182,0.2365245745418253,0.5319640144944693,0.21703419317061143,0.10727665935149928,-518.5176651961324,-481.1465991745853
S22_epo,0.996330154572464,0.02793196168806799,1.961783847345492,0.2696800124131787,0.251111496275807,0.5655439011864445,0.23017465596330275,0.1263892779627554,102.56360439780076,140.36831916578024
S23_epo,0.8722819219983869,0.45253389732495264,3.2799517114427506,0.5863149115910689,0.21352307540917626,0.4041409268373075,0.21897133522727272,0.09001389190165124,-844.4622166787748,-806.6027070094157
S24_epo,1.4302664252627169,0.2667186599986309,3.1144176794110705,0.6098934991717756,0.21988325075742973,0.3523729103645247,0.21803355823863638,0.0848060376110081,-92.03563824239525,-59.67387296428108
S25_epo,1.6375114767896317,0.3703689171376493,3.1309502659455997,0.5480674050482551,0.23434137237137467,0.3767385092754118,0.2335635977417883,0.09739835358441486,-227.53183330235152,-189.6941815806634
S26_epo,1.0217892122164571,0.016383235080603426,3.173571056900372,0.6333757925217857,0.264688508642004,0.39698035071943893,0.2579817598684211,0.09989722075440982,85.3076485992477,122.28753742345555
S2_epo,1.3595439059034202,0.44306716078048564,3.761688464128526,0.7213404927709873,0.22661512824550814,0.4561636550668866,0.22216432995495497,0.10870564636462043,-326.57076158354863,-288.65695290107004
S3_epo,2.2005870063054878,4.0,2.926348419491338,0.5003395832911371,0.1842939388599863,0.3968837675420283,0.1836146556712963,0.08470170725632627,-1248.6821151445222,-1210.9327003071724
S4_epo,1.284261995431221,1.1263796346727681,3.5905559652262635,0.6887168509590855,0.2786743322157108,0.26462424130240725,0.2770493901753597,0.0696767710641421,-833.8288727357824,-795.9042629702789
S5_epo,1.5793011333588245,2.5551737471064024,3.6959076943169578,0.7047041932297292,0.2169795300353134,0.33586028340310753,0.2182082674050633,0.07747749707054563,-1192.0365326799845,-1154.1443846708505
S6_epo,1.7215881816189167,4.0,1.9556603331989506,0.34151620513857034,0.21933170191776705,0.3000016632622723,0.21773346330789944,0.06308366017006825,-1327.7751124376398,-1289.839720998076
S7_epo,2.4519616253354837,1.0559739204585794,2.9599891124825244,0.6058942515654416,0.20621915770950242,0.49430649186470094,0.2058374971382784,0.11009498562201267,73.47141881065907,111.2871326651285
S8_epo,1.0237976367601649,0.2494507937900383,4.476263512611682,0.8905394570121749,0.24506729206082625,0.39598097905415786,0.23629498487903228,0.10002546278480638,-572.0477051788894,-534.1015514046015
S9_epo,1.185376819222032,0.8792156685953949,3.331161714232335,0.6046874876755217,0.22442302811792872,0.3636624214621206,0.22002150203435805,0.07905437664167574,-826.0313507514693,-788.1392027423353
