sbj,b0,lambda,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,1.2636256332631748,4.0,2.5896624236845796,0.42568293872417234,0.1656028010315828,0.26211255683337187,0.16470062894855597,0.04943898439716189,-2127.3109520974203,-2089.4079639769366
S11_epo,0.8013134653791183,0.889893299116468,2.8880348847087784,0.5178501065101179,0.2851167813173304,0.3006327125887928,0.29159445004480283,0.07625660141468124,-958.0807469682961,-920.1345931940083
S12_epo,1.0131527281038546,1.355942448229305,1.83920948996197,0.23325054099167136,0.22859834220255776,0.4397232296124828,0.2533273507882883,0.09973862660643494,-607.973758359061,-570.0599496765824
S13_epo,3.1359238049111102,3.9999984565068325,4.546653872240746,0.8413029022396294,0.21705394657362834,0.2676972266319145,0.21727293346774193,0.06972669115099923,-1503.845289206434,-1465.899135432146
S14_epo,1.6230230732017383,3.9999999952531544,3.511975821412755,0.5371236173027432,0.19689027035906206,0.2818689619406446,0.19176486895161293,0.05666578102145914,-2147.5242115236056,-2109.578057749318
S15_epo,1.1457638924827984,4.0,2.915517893791096,0.5484495069444795,0.21187288118519293,0.32382283291736774,0.20844369904891305,0.06307530734221975,-1643.8370686337591,-1605.9557803560965
S16_epo,1.6236831597068324,4.0,3.088751239727742,0.5654406177622018,0.18089698784405142,0.35134620806754896,0.17705576944694246,0.06942827622692631,-1681.9910032525352,-1644.0663934870317
S17_epo,1.7498009641914904,3.2345152592963196,2.634386568471375,0.5114345390234551,0.20018509046401078,0.35077697064819857,0.20703224406362006,0.07732781333442251,-1051.5313253290424,-1013.5851715547545
S18_epo,0.7551375090669575,0.8463001524399332,2.7584870113225266,0.5860850048796062,0.20927061914183145,0.4011687506598801,0.21203204805107526,0.07881884987584764,-938.6939106801028,-900.747756905815
S19_epo,0.5789496488013768,0.3844055090598144,1.7572960989070672,0.346168243010708,0.1941978594863769,0.5514184388451712,0.1911642595720721,0.0832770785104648,-852.4706425020795,-814.5568338196009
S1_epo,0.735667093397815,1.041715555225288,2.8783742346033154,0.6711317589470924,0.20164114402588063,0.43274152150037143,0.2210854448198198,0.08902928652615728,-859.8605150760221,-821.9467063935435
S20_epo,1.2476078676154083,3.99999915066243,2.3553449748717687,0.3199376260161826,0.19538451217277197,0.354809289813767,0.18703694836469534,0.06930350295988677,-1894.5521514526038,-1856.6059976783158
S21_epo,1.324396089798998,4.0,3.2955829522417837,0.5580386042983081,0.19562492560024924,0.53920404224968,0.1769564341620626,0.0744303517816921,-1461.8369173662652,-1424.0542614466615
S22_epo,1.2160482227190816,1.835146314098374,3.741821962548955,0.7398793475787766,0.19700064961421954,0.3670038161209478,0.19619016973920864,0.08484398673561243,-1217.215712957902,-1179.2911031923986
S23_epo,0.8193590416864535,0.6661627691624692,3.023649235563925,0.5510435354843866,0.2087035671132637,0.3722077873924825,0.21937291856751825,0.08921698792383223,-962.4661882781628,-924.6285365564747
S24_epo,1.396486650657144,0.7072061238741024,3.0241780778823397,0.6010704882552438,0.21285501974435642,0.3148580283654636,0.21117017663043477,0.07138500965602666,-503.88381663238397,-467.40421746181045
S25_epo,0.8712212155563602,0.8014224548312308,2.5823315358768575,0.4504619890031002,0.19114458892629005,0.3328238974920513,0.1940898717517921,0.06938226562695379,-1177.923689870707,-1139.977536096419
S26_epo,0.7978267334149045,2.2499938496366365,2.076099133987076,0.4500752726870886,0.19464016590415378,0.37192819957874795,0.20509960585585585,0.07235203703395131,-1309.6399771406327,-1271.726168458154
S2_epo,1.148358672657615,4.0,2.006097394357474,0.37713646596632655,0.1730769495272374,0.33802047857205053,0.17307304757630163,0.07129165524426456,-1708.6475330636717,-1670.712141624108
S3_epo,1.107078664229986,1.9995004568529493,2.3390127443770994,0.47641334274197633,0.17160155759275508,0.3688632249217886,0.17103221220128675,0.07013744794930746,-1251.6980242068057,-1213.90432872567
S4_epo,0.7248415805223877,1.5086417465307413,2.2476115428024177,0.426929539496134,0.20281031181106088,0.3677085300793927,0.24718064643501805,0.07400472639903607,-932.0790386686713,-894.1760505481876
S5_epo,1.3215961783767909,3.5181842013800755,3.7673383282267148,0.7124283871986239,0.20513844142548987,0.3225413015980265,0.20693556802797833,0.06965586528892731,-1600.0948964605714,-1562.1919083400876
S6_epo,0.9672649105616311,2.2110558780950673,1.8452813154501038,0.35578491817015323,0.19314569587943353,0.2992658957040505,0.19393764076576578,0.057935418248205965,-1428.1091307167476,-1390.1953220342689
S7_epo,2.732791227241728,4.0,2.7472233093295477,0.5537860185617497,0.18830632389904145,0.438203661666938,0.1865220696074007,0.08861599494613298,-819.0781976229479,-781.1752095024642
S8_epo,1.2818786818095163,4.0,3.5385663032247816,0.6229020692718299,0.2062782697739609,0.3447114013179584,0.19963702787769785,0.07094274735547079,-1826.6165156349875,-1788.6919058694841
S9_epo,1.2264186142003233,3.999999947277572,2.8333094252827093,0.4446426923279746,0.19201940420143276,0.33082052505294346,0.18496723790322578,0.05580045117248092,-2002.5726929525017,-1964.6265391782138
