sbj,b0,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,0.6491952166675862,2.975196297359261,0.49913782524737893,0.1707052899494786,0.26840557238413987,0.16470062894855597,0.04943898439716189,-1866.7008018080492,-1835.1149783743128
S11_epo,0.638169583719816,3.0040995621662927,0.5374804590525571,0.29447417193962305,0.30402815624848234,0.29159445004480283,0.07625660141468124,-904.611357283721,-872.9895624718145
S12_epo,0.7355820783946464,1.8664552359601758,0.21318131465144866,0.22885814661725207,0.43968857480766027,0.2533273507882883,0.09973862660643494,-477.3601602784309,-445.7653197096987
S13_epo,1.174577042012929,4.203891833472863,0.6878657982269851,0.22178812467284603,0.2715320829976286,0.21727293346774193,0.06972669115099923,-1202.8090875845658,-1171.1872927726592
S14_epo,0.7787999673289954,3.647851880566844,0.5351469664402604,0.2018651995807183,0.2884287422323022,0.19176486895161293,0.05666578102145914,-1759.2014412357812,-1727.5796464238747
S15_epo,0.6116699121019603,3.3121605866013555,0.6196370529833488,0.2199987507824811,0.3328800632453489,0.20844369904891305,0.06307530734221975,-1401.5011406991398,-1369.9334004677544
S16_epo,0.7350727816772129,3.236866621851327,0.5855911152039124,0.18892627254262495,0.36361605486193527,0.17705576944694246,0.06942827622692631,-1312.4750287340278,-1280.8711872627748
S17_epo,0.7859535206242569,2.8588539965445054,0.561417820892827,0.2172308712119058,0.3660131639309551,0.20703224406362006,0.07732781333442251,-802.7920460114105,-771.170251199504
S18_epo,0.6234330843688356,2.904885205472335,0.6128697341033995,0.2112784020720911,0.4025779380036215,0.21203204805107526,0.07881884987584764,-880.7872845394273,-849.1654897275208
S19_epo,0.5273203323684734,1.8441033963083862,0.36295270828948767,0.20090497568042723,0.5594358940701363,0.1911642595720721,0.0832770785104648,-843.9029854923978,-812.3081449236656
S1_epo,0.5818084260081064,3.176684064010243,0.7407467025075939,0.2152379284592687,0.4348470063206748,0.2210854448198198,0.08902928652615728,-814.0141945610708,-782.4193539923386
S20_epo,0.641046631036776,2.7023765894235243,0.3751192251302564,0.2091820888021797,0.3789944592192407,0.18703694836469534,0.06930350295988677,-1554.3796202030305,-1522.757825391124
S21_epo,0.5971958981884548,3.8689238428344437,0.6466236734548855,0.2553206643761666,0.6653847265843134,0.1769564341620626,0.0744303517816921,-1226.1392296818035,-1194.6536830821337
S22_epo,0.7470852777623995,3.7274218115156046,0.725803190420863,0.20950453316258522,0.3832773831678041,0.19619016973920864,0.08484398673561243,-1066.2727729146893,-1034.6689314434363
S23_epo,0.6861360612068864,3.099617192843786,0.5602297495696571,0.21131941055810144,0.3730796895198091,0.21937291856751825,0.08921698792383223,-918.5172082917057,-886.9858318569657
S24_epo,0.9904537327201467,2.974129868436939,0.589147816985793,0.2173094158321982,0.3191061958736315,0.21117017663043477,0.07138500965602666,-422.59226571097344,-392.1925997354955
S25_epo,0.6996678234583837,2.7574831093234553,0.4865487389683021,0.1967229662420823,0.337345990920027,0.1940898717517921,0.06938226562695379,-1115.7454564463908,-1084.1236616344843
S26_epo,0.5477000238923864,2.3073782370825913,0.493148519385648,0.1996317111633428,0.3735787318150095,0.20509960585585585,0.07235203703395131,-1169.777817874831,-1138.1829773060988
S2_epo,0.6070386707434197,2.563715312134879,0.474644193941868,0.18498282091374763,0.35540329724047215,0.17307304757630163,0.07129165524426456,-1495.0924425772682,-1463.4796163776318
S3_epo,0.6953581358030927,2.6658992700968955,0.5344532604364526,0.18048943278427984,0.38130463765288325,0.17103221220128675,0.07013744794930746,-1088.0876201179826,-1056.5928738837029
S4_epo,0.5525950392408743,2.5062552628551105,0.470140613787872,0.211673867675423,0.3522431412678464,0.24718064643501805,0.07400472639903607,-852.3474429670553,-820.7616195333188
S5_epo,0.6909887370703353,3.937164382829327,0.7156286359732995,0.21826196757992175,0.3359861887431229,0.20693556802797833,0.06965586528892731,-1369.2690010063693,-1337.683177572633
S6_epo,0.6365450178169977,2.2221488098730786,0.4268576562337801,0.19670605215802445,0.3020952576346053,0.19393764076576578,0.057935418248205965,-1272.5112975809352,-1240.916457012203
S7_epo,0.9195206135532612,2.8370685340847484,0.5740802651176758,0.20092432084161618,0.4563157434961736,0.1865220696074007,0.08861599494613298,-465.33736312221527,-433.75153968847883
S8_epo,0.6385538547839213,3.9440054292498026,0.7104111716926089,0.22425780208205803,0.373628185427317,0.19963702787769785,0.07094274735547079,-1517.9116729229097,-1486.3078314516567
S9_epo,0.6437488876254915,3.1366163394146707,0.4791833870670784,0.20314730613788598,0.3487222039720836,0.18496723790322578,0.05580045117248092,-1656.9161835761201,-1625.2943887642136
