sbj,b0,lambda,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,0.695954432510832,0.01,3.843673046749517,0.7090923457078683,0.32557409973878126,0.3252808128252126,0.3198984939079422,0.10672338219730311,-716.0350966338569,-678.1321085133733
S11_epo,0.9879475424524763,0.01,2.9481832473188487,0.5992573133314208,0.4210459278438073,0.2973750836442763,0.44945342438412406,0.13627085123226826,749.7096647679882,787.5473164896763
S12_epo,0.7603864921721657,0.01,2.1034490208669836,0.32445679854487636,0.3575352904817829,0.3526992825696316,0.3535598021582734,0.12073089092201282,-133.5308894609751,-95.6062796954716
S13_epo,1.4334115165324586,0.3484129995356074,4.332840822416678,0.7728561315758042,0.388527753648733,0.34048472789774875,0.38849466565860213,0.14350667414803692,-177.23265809085987,-139.286504316572
S14_epo,1.0265220584042045,0.021268684110936235,3.851520044397027,0.6584926119658688,0.340639140800918,0.3140616870219253,0.33346128941441444,0.10833721594591786,-409.67259377555246,-371.75878509307387
S15_epo,1.0677004871905564,0.07288819820306751,3.7955918017910917,0.8018014800960828,0.40089150765805925,0.32615176848738936,0.4062846510701275,0.14382919286219245,467.6514790727761,505.5000697218333
S16_epo,1.334727860822162,0.2686676159288011,4.516416473770565,0.9611284974920855,0.3570545362832213,0.3040044548639646,0.3560351351351351,0.11657983754358889,87.51488650692185,125.42869518940046
S17_epo,1.5917315841559285,0.11983297402134704,2.491737952309156,0.4845196224249726,0.42408239212991283,0.39951696535564557,0.4320503012048193,0.1811766899975977,926.9404761879841,963.1101473093684
S18_epo,0.6441052488521681,0.061670746171038515,2.5878819831292725,0.4694812297654868,0.325781210236713,0.38459745768825365,0.31473065810143624,0.1097536455421427,-437.76343841315844,-399.8280469735947
S19_epo,0.8747664658295746,0.010000012698409208,2.3954243075463184,0.4252054251513389,0.3508358619382118,0.35166082286886796,0.3878983949637023,0.14451270707778682,450.6005934675023,488.47100232241974
S1_epo,0.6218555336763388,0.14186916998699045,2.846135689298386,0.6057886306867054,0.2702243398668688,0.31718574489816537,0.3260529529557762,0.10377826153120522,-473.10884141206924,-435.2058532915855
S20_epo,0.7910892354436085,1.1372433394396633,4.025193269992256,0.7106172064884897,0.33489044382424454,0.2708043844531783,0.32746144153225804,0.08719269129846884,-1341.2567674907336,-1303.3106137164457
S21_epo,0.7116873450568861,0.010000000169404489,4.721873964430292,0.9202098105539515,0.33039486820235786,0.3442809501707873,0.3302719522338403,0.1174825908571405,-537.9959051759719,-500.4040978995456
S22_epo,0.8593993073096162,0.010000008140737239,2.0240590737421957,0.28533607065670696,0.3412109304378221,0.3226482858688875,0.3468431204212454,0.1259326487604921,26.677704907649233,64.49341876211867
S23_epo,0.6358412130001095,0.01,3.688611944768542,0.6665081795704598,0.3041563322227981,0.3223494250273291,0.3238608354128857,0.1067068400542268,-593.0371590203783,-555.1667501654608
S24_epo,0.9989957436967827,0.010000002900871698,3.331965530322271,0.6568767674514306,0.38828204547910916,0.3655881805572522,0.3871100027901786,0.15055813529015638,148.06874855625497,180.5386248673852
S25_epo,1.2128204106793534,0.09508540212253641,3.3387720634738076,0.5956671118356061,0.35319927918632277,0.2506168364618603,0.35195669683515485,0.0906021247950585,-190.4008968269618,-152.5523061779046
S26_epo,0.9236727430644244,0.01,3.383383149278392,0.6847971855741479,0.3380971039369681,0.35049059472782185,0.37938386513157896,0.14346893448347525,399.3227215269857,436.3026103511935
S2_epo,0.9165810824135596,0.015752124529168104,4.154680568097046,0.805960262933839,0.3566462547492788,0.36045615799503317,0.3563661317567567,0.1297071627155841,-69.9611125580698,-32.0473038755912
S3_epo,1.0073855874336972,1.0068887927327586,3.4798725627789997,0.6070362721868366,0.2933621553548756,0.3068462544036604,0.3013702112268518,0.09747444046018583,-938.6741541807679,-900.924739343418
S4_epo,0.7168785578464263,0.025254245990890226,3.9954832305293575,0.7780945687027214,0.40017854411328024,0.25768433023407844,0.3960543094758065,0.0970110517402796,-362.9796392766077,-325.0334855023199
S5_epo,0.8110954148934544,0.612505721935603,4.377907613561566,0.8401305350457342,0.33138023359592883,0.3172749923166942,0.35976522943037975,0.11980768685154254,-571.7774335298153,-533.8852855206814
S6_epo,0.764742837780904,0.7982021076279293,2.2511894734956868,0.39443106154921415,0.3207038582604021,0.25880647208849744,0.3359596751570915,0.09297649302889681,-934.319344700174,-896.3839532606104
S7_epo,1.4408951607925464,0.29397836319368953,3.18607991665152,0.6523303285268957,0.3653628392890036,0.37135803574145876,0.36495288175366297,0.15581776520634674,434.3507645226885,472.16647837715794
S8_epo,0.7676865477408839,0.01,5.0,1.0132054829592796,0.34580288408966064,0.26312374695080404,0.3477394293234767,0.09500179096683223,-615.2220688068655,-577.2759150325777
S9_epo,0.6902207746963837,0.02080054607836452,3.7317457726396084,0.6988950075326279,0.34900538701010597,0.3287495924065542,0.351395823915009,0.11044368776020927,-481.5056962695932,-443.6135482604592
