sbj,b0,lambda,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,0.6325371812385494,0.01,3.373427275315211,0.6024973198259007,0.2615425626793409,0.3308931915617205,0.2983166633791704,0.100321845199446,-1282.1669023607767,-1240.0996184366745
S11_epo,0.7986140680339827,0.01,2.8580009844942498,0.5621157277613719,0.3532707181404077,0.30684836440243807,0.4183356055040687,0.1183421169110355,1439.7201342886444,1481.7711653811382
S12_epo,0.7194637708191037,0.01000000123342462,2.0327141172430396,0.27748886516576005,0.3199517127262077,0.33903557881561847,0.3411625603661276,0.11549397444959258,-300.1694679538125,-258.08058184615925
S13_epo,1.1342953818540644,0.26315379321069304,4.430369415056153,0.7938684126760435,0.37257279005590643,0.31675338241135664,0.3733345164090502,0.1291103183876372,-769.8194733221793,-727.7144364645318
S14_epo,0.7737268425787284,0.010000000087801907,3.696132750068104,0.6199077912151785,0.3121094695480162,0.28986734466110387,0.31087853773584906,0.0952891987831863,-1556.8921527167674,-1514.8032666091142
S15_epo,0.7665538488181118,0.010000000182822214,3.2290139676950593,0.6635770300348176,0.29954240420770195,0.33546858991753575,0.35988043046733215,0.12469595456155443,1095.1352501149534,1137.1645420532304
S16_epo,0.8074915372024293,0.01,3.6402518140502407,0.746146062285033,0.3056313707734231,0.2878242709029543,0.3205864156728173,0.10313361516411407,-293.2882121019542,-251.2101173641164
S17_epo,0.9253581114426592,0.01,2.3113031170773928,0.45202398311498493,0.3440601364241473,0.37726283682103096,0.37741610193987674,0.15184736859287845,1727.234223661614,1768.51652815473
S18_epo,0.6930610846155263,0.2425263518766389,2.6512946419668033,0.5183264016172644,0.25470887852987634,0.38193778657248023,0.30858014293721975,0.10425321258383673,-331.77510453891426,-289.67544643554896
S19_epo,0.6996747728369839,0.010000000031761516,1.8676366806739342,0.3452112206393082,0.2244490635832208,0.4940323658992302,0.33260066702391694,0.13662484118856102,1671.6244018732466,1713.68627307709
S1_epo,0.5704529592222817,0.0900896069499863,3.064039779396479,0.6816137976950484,0.266474939548327,0.3130514661054294,0.3180683118237151,0.10063944105068681,-865.6463971691896,-823.5791132450875
S20_epo,0.737410135021898,1.1172100622397103,3.231177717906829,0.5156732279262062,0.2907863570640472,0.26278539028920245,0.31088001932123654,0.08104905402323925,-2770.4376549635367,-2728.332618105889
S21_epo,0.6750991020323521,0.01,4.243306216298085,0.7830758870590264,0.27811559285175147,0.3205481448471786,0.30621451037801484,0.10227704091259922,-1617.013758245394,-1575.1165817365804
S22_epo,0.7739207296794967,0.01000000003679527,2.6904860489222626,0.46360498490386004,0.28592788882358455,0.30885616261851045,0.3286470763384755,0.10866087307710781,-447.3967492708115,-405.36745733253434
S23_epo,0.6111087910437007,0.01,3.6200304919999904,0.6585988451226642,0.30200540878052207,0.3212871213322457,0.315143737296748,0.10367719008270272,-383.1340686103488,-341.077615014097
S24_epo,0.8605765145634803,0.01,3.268697917010443,0.6509983569546354,0.3844063465254543,0.36541255222247465,0.3795446209403323,0.14691387770832018,224.1520716457717,263.12366498139374
S25_epo,0.8320938618577947,0.01,2.8308002985007574,0.5114024074992951,0.28303884373918875,0.2726143004740304,0.3247763098464318,0.08574410779105829,678.7290905613797,720.7855441576315
S26_epo,0.7396522711905447,0.010000000016523946,2.562702784631874,0.5224221284535298,0.2303406047180321,0.44876704689327307,0.3284799042192047,0.12469516474070345,1311.0835014224479,1352.7132083265496
S2_epo,0.7209265525286064,0.01,2.9692224041652935,0.5634750396605429,0.24786737547309043,0.38617334394999275,0.3149900095548561,0.11729371275251024,149.7170753256728,191.80056817453595
S3_epo,0.7998418248765458,0.6742086776152301,2.8540602464925406,0.5284908343602308,0.2584080238952837,0.30830199812645787,0.2933816892281106,0.09237718532971485,-1394.841227372972,-1352.9052157771248
S4_epo,0.7450534937757077,0.19646748126088281,2.7485816041085904,0.5196120437426852,0.227429803712146,0.5059940844220215,0.3610414048473967,0.10226437741856688,1507.9465762831742,1550.0408508060975
S5_epo,0.7607013568859361,0.6489267165161183,4.395854180051751,0.8377974704232205,0.3005940326424149,0.3090960551097578,0.342818006825361,0.10879857669830488,-1235.8554753608698,-1193.7936041570265
S6_epo,0.7402448005508828,0.8139802899950568,2.1487895434077355,0.39646499169249805,0.27417410827153577,0.2974837552281313,0.323920058628815,0.09081416096157363,-625.2827409581246,-583.1884664352012
S7_epo,1.0127044395838127,0.13471189556835858,3.0052869562343094,0.6131071675283665,0.34617367055607484,0.3546482800520637,0.34180409090909086,0.13442429924593322,374.9717200222892,416.990112775008
S8_epo,0.6654084608881151,0.01,4.547946572595889,0.8944636988860354,0.29860429049401727,0.2610798992658395,0.325129972228456,0.08720419543081245,-1740.3214997161149,-1698.2272251931915
S9_epo,0.6404226777826556,0.03662257545958089,3.4774105776357285,0.6093790195433677,0.2878522847709786,0.336334349554824,0.3208898374212421,0.10326687898273224,-1227.1782946526284,-1185.1001999147907
