sbj,b0,lambda,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,0.5899551558363751,0.7676798020700452,3.3099030735320722,0.5655921222719658,0.2563505471565101,0.31231216581698074,0.2767737190315315,0.08838788626048649,-1233.3395841410872,-1195.4257754586085
S11_epo,0.6724632929896432,0.4345630449207335,3.1053864562027838,0.5513319649484274,0.32784657207164214,0.27996292436937414,0.38777545362903226,0.08738929141563913,-424.0252217026674,-386.0790679283796
S12_epo,0.728475543873819,0.5779623015139906,2.029320670638551,0.23433860729415595,0.31892088619938824,0.3291688325838634,0.32878757574057454,0.10861599012887731,-408.54462673594895,-370.60923529638524
S13_epo,1.1617630749747865,0.7256008184310294,5.0,0.9167394823336971,0.35873216093384447,0.28838438293954066,0.3581743671594982,0.11083827341106439,-881.1460851409012,-843.1999313666133
S14_epo,0.9007842442270395,2.0,4.296963698869919,0.6880638930409368,0.2949535206205847,0.2546093594870456,0.28841719870071686,0.07365897351158321,-1916.3229226027518,-1878.3767688284638
S15_epo,0.625253961437392,1.2987301070706199,3.788211003326275,0.7198427210949526,0.29915612401344477,0.24622254655753467,0.31381186426311025,0.07866638123711255,-1094.041986556063,-1056.149838546929
S16_epo,0.7979917246697004,1.2709056353119683,3.8269612539325433,0.7101749206245773,0.28847658372862384,0.23938220276395195,0.28520145290017984,0.07197980925859225,-1536.980930309528,-1499.0563205440246
S17_epo,0.819716305380798,0.7348312408944295,3.2419742105046208,0.6396182211232735,0.32227794287896183,0.33507920110127865,0.3367831401209677,0.10918962430392759,-479.01054419082413,-441.0643904165363
S18_epo,0.6915699027901077,0.5558135761844588,2.8918024447821025,0.6115858151444153,0.2321634531144455,0.4026530840772026,0.3024406502016129,0.09807271331381723,-339.560843098915,-301.6146893246271
S19_epo,0.5288600863804953,0.05283777817326844,1.8670193596400502,0.3671344827967274,0.2107290041902607,0.41635912207286085,0.2778986058123878,0.1022518677491939,-473.04705950186946,-435.11166806230574
S1_epo,0.5666077417207893,0.24428005350573484,3.2182885238860037,0.7459857203677261,0.24863281369853912,0.3326916156222086,0.3100980574324324,0.096750494253943,-549.1081734290227,-511.1943647465441
S20_epo,0.7040502989807713,2.0,2.7596241681410345,0.3628971237735051,0.2897072454565285,0.24709820485522643,0.29429859711021505,0.07060768920715017,-1831.3269341656837,-1793.3807803913958
S21_epo,0.8502685545184127,2.0,3.6677683662619747,0.6187387957081731,0.26133210193080625,0.2835650060427849,0.2832902088994565,0.07873624322446117,-1583.7757361405177,-1545.894447862855
S22_epo,0.6953604594105618,0.33785529467591435,4.188498335458279,0.8329415863493406,0.28563436904644257,0.26479248448110315,0.31077829923561145,0.08475717870068182,-1002.1871719963841,-964.2625622308806
S23_epo,0.68577395080256,0.2840756780575989,3.315444217263461,0.6052123755343022,0.260466336903888,0.3451561916496325,0.3065050303507194,0.0998367166075979,98.42960227221407,136.35421203771756
S24_epo,0.7950687269911609,0.010000251643037479,3.333946078489749,0.6690326607663738,0.38593742125274655,0.36712020888121616,0.3756755672089041,0.14486213974381576,29.855761745400578,66.34907520765925
S25_epo,0.7351547256110504,0.3854673310716842,2.784913618772862,0.49143700170946236,0.22933277282742995,0.33026629019485687,0.29803431619623655,0.07118416040606401,-475.14007243980706,-437.19391866551916
S26_epo,0.7491630061878047,1.7751021231471005,2.1396631008825513,0.46057006483242857,0.21561385459744026,0.37994750250395687,0.28499180811600716,0.08451590634403341,-746.9864032548357,-709.0617934893322
S2_epo,0.6906846188783347,1.6018012793991718,2.342045920528074,0.43337576846840004,0.24724399021854493,0.2973646246862264,0.27376245511669656,0.08542332188336484,-1193.5918671906807,-1155.656475751117
S3_epo,0.6652879532221497,0.5017381287392201,2.7189102542650208,0.5456310856964738,0.25794430121200007,0.2931874636024181,0.28546645642201834,0.08630653775446077,-794.7296741602029,-756.9249593922234
S4_epo,0.7143031297057594,1.3197835449867363,2.3865034171468866,0.45671549436367676,0.22050790557492858,0.4588427607245344,0.3259025545188849,0.09509771437330528,-54.613434774079295,-16.688825008575805
S5_epo,0.7742890090117802,1.3351378221020835,4.714598763145027,0.9068890291474155,0.2867475262321586,0.28529216040003574,0.3259318552927928,0.09358489539877592,-1034.9039973507072,-996.9901886682286
S6_epo,0.7532012399715312,1.237553408033304,2.0340682149600346,0.3973054241039908,0.24473272683247962,0.34299495352019155,0.31188044210053856,0.08694763179098565,-249.950333837449,-212.0149423978853
S7_epo,1.0308545291729496,0.6889674269170365,3.128375172161379,0.6355878130815251,0.32572775252323694,0.3266324345505846,0.31898957863267147,0.10441093288180804,-508.5927533681405,-470.6897652476568
S8_epo,0.6186779835111507,1.0759215595810658,4.409581322672059,0.7961909646235055,0.2976142863684058,0.23325060074645537,0.3024391861510791,0.07176903447253163,-1800.0571387218608,-1762.1325289563574
S9_epo,0.7326876771943232,2.0,3.338785502557757,0.5315416260160359,0.2700081535471738,0.31460068402532504,0.29065720206093193,0.08548533900508154,-1577.305864479731,-1539.3597107054431
