sbj,b0_sp,lambda_sp,b0_ac,lambda_ac,delta,t0_sp,t0_ac,G2,BIC
processed_500Hz_0001_epo,0.8640304358817654,1.1121612986266767,0.9604989131994575,0.5344593537608542,0.08087202589443936,0.2599999845424262,0.3379997453836349,255.0623354378253,291.68009575580743
processed_500Hz_0002_epo,0.5000008636115699,0.23327272672238192,1.124329834856404,0.8671615046296233,0.4363836516788243,0.29199996339346357,0.21999965022716494,140.0132187261156,176.85205004844983
processed_500Hz_0003_epo,0.5917520555713641,0.7117323605464324,3.062380058341633,2.7919047309868694,0.566405446338373,0.27173610684187455,0.15250273401051967,164.8959240611278,201.1684089131724
processed_500Hz_0004_epo,0.8200839423427029,0.9331068192056704,0.7887367880327756,0.44112534312002327,0.645801377574069,0.3780000038049125,0.48426820282728517,146.06004186296184,181.54237127850345
processed_500Hz_0005_epo,0.5392309666038064,1.3260508481498143,1.7815612903427969,4.0,0.4589656642951974,0.2856096974056212,0.21432197208498877,16.316313601163248,52.782716671053194
processed_500Hz_0006_epo,0.525860584062185,0.24392792451580286,2.371383375769282,2.6161646526364137,0.8005656624679611,0.42185269491475985,0.2999999764819219,99.73400900399403,136.00649385603862
processed_500Hz_0007_epo,0.5314049425298306,0.7715159131927877,1.2999126156101162,1.0239876161709884,0.6313523062587814,0.27753194868443204,0.30900000709840136,112.28707005357917,148.82956082912744
processed_500Hz_0008_epo,1.5225954227792344,1.9160070538934828,2.5961216844360355,2.7135755375391657,0.29346317966336743,0.17422424764146358,0.15099993692411182,270.91303932482674,306.9455006625209
processed_500Hz_0009_epo,0.6571793592220918,0.5116409628166214,2.4427890581278455,3.9999943513315364,0.4673527335357942,0.24599999793331517,0.3819910494762812,177.32342437161492,214.16225569394913
processed_500Hz_0010_epo,0.6291313425337643,0.35020969322971846,2.9745313506634252,4.0,0.38244983673013333,0.2763164865755123,0.4712234594206737,198.3566458278602,234.74612504672098
processed_500Hz_0011_epo,0.7288427628251601,0.5450827650985014,3.242410107556594,3.9985799786442895,0.505147873943024,0.2872911127676424,0.22400005861507166,217.92206724766592,254.38847031755586
processed_500Hz_0012_epo,0.5397681952117088,0.28303561067638183,1.421404653121936,1.733225230015715,0.7011884713527172,0.2608975608361839,0.3030000633032043,127.0541604020764,163.36586104296168
processed_500Hz_0013_epo,2.999775934264067,3.684160642878027,4.0,3.548211205383624,0.27303762364875084,0.14078859318083484,0.4089989383461146,316.89022295867466,353.24092091490616
processed_500Hz_0014_epo,0.5000011241683513,0.3310550235947881,2.028149053376552,3.5952577034328015,0.8049471294213162,0.2709999500033101,0.33300000205320746,50.677969162463675,86.6696140579823
processed_500Hz_0015_epo,0.6955263233793433,0.6222204002864159,2.772294323239666,2.849742218582487,0.5246527694537204,0.2591207555161038,0.3260000123347545,226.65809491091,263.4969262332442
processed_500Hz_0016_epo,0.8898369600172635,3.999614205203666,3.203372997622507,3.162808712469192,0.25473888206573037,0.2769999596075381,0.1899999354668112,151.1884265812452,187.99089418543969
processed_500Hz_0017_epo,0.8926544374250442,2.0318046641540715,0.7427155611254164,1.1524616160844916,1.3459076695764676,0.4382207846585462,0.5179999851022008,-44.467032854686856,-7.849272536704746
processed_500Hz_0018_epo,0.9924558868557135,3.997276707380383,3.2043316099766126,3.2923874840691596,0.34675411662323374,0.2774529124861552,0.1770000013627965,200.75010636115638,237.40520010096603
processed_500Hz_0019_epo,0.6253075248550285,0.25596129010627494,3.999999792604093,3.0630354116432814,0.19693542707376568,0.2520000006811357,0.08258039547982635,303.0784836558558,339.54488672574576
processed_500Hz_0020_epo,0.5000000008612269,0.5806691264979156,2.0471960289399638,3.6838496788716824,0.5674150983191366,0.2666744503896715,0.29880660339168574,59.35696424944087,95.22471210526368
processed_500Hz_0021_epo,0.5325145722226843,0.05857615206063581,2.3996401687039755,2.1875935734927054,0.3578922085542628,0.2870000035552632,0.11500027374613961,217.49392384458793,254.14901758439757
processed_500Hz_0022_epo,0.5064382413341562,0.3572877316261005,3.9999545995169976,3.6551113755073663,0.23804146228018275,0.2780000174774292,0.16200104545870012,198.6385350599735,235.29362879978314
processed_500Hz_0023_epo,0.530647160187173,0.01,1.0008991758757466,1.0368347286082422,0.3865945226211837,0.275778890231447,0.3759999455728379,164.70711484862372,201.39934395404123
processed_500Hz_0024_epo,0.574198180316664,0.6618838706684067,0.9629636028047632,1.5939983760092429,1.2605597591970583,0.26800005409777006,0.35735609442172755,-21.30193513659901,14.565812719223803
processed_500Hz_0025_epo,0.7394078864984825,1.1524070358782266,2.4018953453638208,3.046990256437998,0.45760515324385304,0.3029999930061889,0.2215128025551525,168.44386488138977,204.83334410025054
