sbj,b0,lambda,delta,t0,G2,BIC
processed_500Hz_0001_epo,0.9611545747737513,0.5373568565885103,0.03251491113567678,0.3379979641472718,174.4326211941338,192.69001396000513
processed_500Hz_0002_epo,1.125266914085082,0.8708321890873758,0.4285645305636844,0.21999989052607516,149.4420056943793,167.69939846025065
processed_500Hz_0003_epo,4.0,3.771714868139048,0.5402009441598082,0.11331620897732253,154.0826547242127,172.16980903240886
processed_500Hz_0004_epo,0.7915133272097709,0.44068729849928123,0.7286015964473459,0.48448576316797826,84.86812286242294,102.49499985147995
processed_500Hz_0005_epo,1.5626348898054603,3.4729290872400407,0.5793690174234735,0.23399222163271804,46.808786816304995,65.02429438270715
processed_500Hz_0006_epo,3.180598239246528,3.7507310407213232,0.7014255102158952,0.2600000021674034,109.74379477402222,127.65314203193505
processed_500Hz_0007_epo,1.1990815656055838,0.8477818130931203,0.7309544426639625,0.3279989593867375,129.0955497976932,147.1389878237606
processed_500Hz_0008_epo,3.5554807127327166,3.895646513286672,0.303411230748485,0.10800016456471344,149.28234461938254,166.95770705056893
processed_500Hz_0009_epo,2.2890553799541706,3.717233353908791,0.5596654290279243,0.39271386665706387,102.97425408555148,121.23164685142282
processed_500Hz_0010_epo,2.7602627358756284,3.6589561678935643,0.49915463997081183,0.4832942006360056,124.51388100674502,142.55731903281242
processed_500Hz_0011_epo,3.18308327084571,3.903822438833642,0.6355838004292053,0.2317126914325106,126.85735773825486,145.0305368673349
processed_500Hz_0012_epo,1.1460064060407746,1.1568388234055016,0.845712241205292,0.34300001410327885,96.28232479630381,114.53971756217516
processed_500Hz_0013_epo,4.0,3.5443861107357386,0.28301161061615265,0.40901801823568346,185.02981685171065,203.32866076572418
processed_500Hz_0014_epo,1.720905748622839,2.8757934487379417,0.9258394280112037,0.3529999942534384,53.10067951595452,71.05522499488308
processed_500Hz_0015_epo,3.1985497856473604,3.349255285865357,0.5713031534523308,0.3069999429331944,159.25175094900496,177.59162086368724
processed_500Hz_0016_epo,2.7999961503891293,2.7073448380883502,0.2250782778232323,0.2100000001257485,186.68622053294627,204.90172809934842
processed_500Hz_0017_epo,0.7339276302513433,1.0131096811909013,1.6197574091071756,0.5209999908304633,-33.9976456956573,-15.910491387461136
processed_500Hz_0018_epo,1.0875194541316995,0.6331778162847757,0.4227944111073231,0.400999997595752,174.27476313949077,192.53215590536212
processed_500Hz_0019_epo,4.0,3.0642842283651075,0.17125582980623513,0.08200886333436992,224.34624450551917,242.6036372713905
processed_500Hz_0020_epo,2.064913167462618,3.691104823962173,0.6713877735289311,0.2990483399125232,74.79740737553452,92.92780534814754
processed_500Hz_0021_epo,1.7919246381535134,1.4741167520251062,0.40804288265202715,0.17400038269647267,172.84531042231538,190.9757083949284
processed_500Hz_0022_epo,3.971142135378637,3.677318906271196,0.28381024523328635,0.1719025580574602,193.26340270668865,211.52079547256
processed_500Hz_0023_epo,0.9969576050961565,1.0196774321234043,0.4553614827308387,0.37699999657244404,112.93271432581936,131.19010709169072
processed_500Hz_0024_epo,0.9627078759729337,1.6030323293961724,1.2348318560033016,0.35722962650976925,4.663773999356237,22.7509283075524
processed_500Hz_0025_epo,1.8654809922134894,2.217751826854602,0.5041112935651195,0.26020032084514244,126.32132435912426,144.36476238519165
