sbj,b0,lambda,delta,t0,sigma,mean_z,std_z,G2,BIC
processed_500Hz_0001_epo,0.6171561402377175,0.26877686543469825,0.16894125281506844,0.3124093834403681,0.2138014512688166,0.32486813186813185,0.07113092846590835,-139.19460377923966,-116.6403062466554
processed_500Hz_0002_epo,0.5,0.18946411335012373,0.4515046542198049,0.2879999967442083,0.23636689369944197,0.2817628865979382,0.0720915473541453,-266.6706384280147,-243.79708353549776
processed_500Hz_0003_epo,0.5767891211525346,0.5290867102733522,0.6151664578616196,0.2730513494536241,0.20280668299750998,0.27331395348837206,0.054750865264036025,-245.88615066535385,-223.6144141840863
processed_500Hz_0004_epo,0.9634335702895511,0.972007773896509,0.5227365184180223,0.33800000043293876,0.38250588554567067,0.3303116883116884,0.11557122498789027,-50.079470503493575,-28.360443394225154
processed_500Hz_0005_epo,0.6274600207435064,1.4357523528779064,0.19328597277629295,0.26300003754839274,0.24713950923208428,0.2575113636363637,0.05136633012847783,-269.6368057315223,-247.25012165913128
processed_500Hz_0006_epo,1.6651700610536049,2.745007104402834,0.6902213035207876,0.2660001427984414,0.39160582802637206,0.2618222222222223,0.09500310846116536,-160.77179313109855,-138.27274477944724
processed_500Hz_0007_epo,0.5406818604946404,0.6941661386777307,0.38622401181896193,0.2724722412940706,0.33133690332355925,0.2634042553191489,0.07610537475762565,-220.70967160962732,-197.9931976982773
processed_500Hz_0008_epo,0.8533152711542783,0.47763050988266476,0.27177911491310636,0.27497011156395307,0.3340594444538168,0.2794831460674157,0.0931117622953336,-49.58927888797997,-27.146097039319272
processed_500Hz_0009_epo,0.5942695108148128,0.28408465351033185,0.32674356556919876,0.2636467354704312,0.2918087189236444,0.2665670103092784,0.07255739387909178,-152.55845756566157,-129.68490267314465
processed_500Hz_0010_epo,0.5407727038626886,0.041378989825154484,0.15671867001484202,0.3018675742159189,0.2371634512027579,0.3119222222222222,0.07124452848820162,-138.65844142180657,-116.15939307015525
processed_500Hz_0011_epo,0.7972289901954704,0.6358466057023564,0.2259125237472753,0.267999999138812,0.2564610233988162,0.2688202247191011,0.09680892356001268,-143.25864004092193,-120.81545819226123
processed_500Hz_0012_epo,0.5753196275849419,0.4535427726359957,0.423679086029368,0.2539142102465725,0.24981040465130602,0.2540963855421687,0.05387549557155157,-198.39013509322737,-176.2959320542444
processed_500Hz_0013_epo,1.1550520929447743,0.7486581263891686,0.31536585437082937,0.3048814167932588,0.402122238141598,0.3207469879518072,0.13267197008997064,24.126152187835732,46.220355226818725
processed_500Hz_0014_epo,0.720477093705651,1.2502861619677912,0.4466285977573992,0.21900003938452378,0.39591775205373847,0.21212195121951216,0.08736402539248125,-185.77832120620647,-163.7447249698852
processed_500Hz_0015_epo,0.5526295625228484,0.09275331574555128,0.43498090942803513,0.29528654154100653,0.413557998955123,0.34637894736842095,0.10928043875108119,-21.822279283715552,0.9471051742871524
processed_500Hz_0016_epo,0.8160326028759258,2.359983352529137,0.37534463888822783,0.2779710784299889,0.42829624385077686,0.27771134020618554,0.09365674977606375,-188.4974125829521,-165.6238576904352
processed_500Hz_0017_epo,1.0447529397747426,1.5245586174072367,1.0734380108549786,0.38997721497041626,0.3417139502835642,0.3748842105263158,0.1073607654649446,-138.6646487153367,-115.895264257334
processed_500Hz_0018_epo,0.8720460648213952,2.1010749138434637,0.2976029689420381,0.2771693612332863,0.4580265796101112,0.27879347826086953,0.12411254868092755,-104.26696290459832,-81.65802001935312
processed_500Hz_0019_epo,0.5962344173718711,0.15204640522910393,0.2927244468379376,0.2607903444361265,0.11265040154662669,0.26106896551724135,0.03231055950075277,-289.24276221953005,-266.91322162625715
processed_500Hz_0020_epo,0.5,0.513446515740711,0.235754169942615,0.26758516419498923,0.25749672801925,0.2698933333333333,0.06814662101348501,-208.4964118595833,-186.90897129190176
processed_500Hz_0021_epo,0.6882809553744783,0.5302308988486453,0.21674003248348758,0.23713334682629014,0.3181369678274474,0.22834736842105266,0.06577325779101423,-185.7450410220598,-162.9756565640571
processed_500Hz_0022_epo,0.6045201906543565,0.7329999734620247,0.01250962486489593,0.250345158048462,0.3013904463795779,0.24135869565217388,0.06092075778200284,-221.04811272083188,-198.43916983558668
processed_500Hz_0023_epo,0.5215607388089187,0.0,0.2689495133391747,0.28015847749124345,0.20771210721498756,0.2828172043010753,0.048868915343065714,-214.0703934161841,-191.40739595041782
processed_500Hz_0024_epo,0.5742839199948044,0.5997252427669857,1.3006060704715359,0.2680000000362711,0.25123703076352033,0.2673552631578947,0.06128464733205991,-225.44879883300854,-203.79513213157688
processed_500Hz_0025_epo,0.8830289404827706,1.2458620714393036,0.33226719627146717,0.2690942967675013,0.2711074539791091,0.2663555555555555,0.06647561141937881,-181.9223775917508,-159.42332924009946
