sbj,b0,lambda,delta,t0,sigma,mean_z,std_z,G2,BIC
processed_500Hz_0001_epo,0.6172407612926298,0.28556864275007937,0.16877335402920335,0.3124193917300828,0.21379613819802523,0.32486813186813185,0.07113092846590835,-139.10155205606185,-116.54725452347759
processed_500Hz_0002_epo,0.5,0.21685445666229727,0.4499013291353104,0.2880000004543717,0.236353954105322,0.2817628865979382,0.0720915473541453,-266.792663663404,-243.9191087708871
processed_500Hz_0003_epo,0.5879202829483772,0.6870004171461401,0.6109014985115068,0.2727368089097471,0.2027056359390208,0.27331395348837206,0.054750865264036025,-246.14737186434198,-223.87563538307444
processed_500Hz_0004_epo,1.065855478306069,1.6804160332266624,0.5080032195145378,0.3355764374230508,0.380999203898494,0.3303116883116884,0.11557122498789027,-50.356575156511795,-28.637548047243374
processed_500Hz_0005_epo,0.701248018958095,2.5962845717520957,0.18772287668782886,0.26100002820601087,0.24586385423652274,0.2575113636363637,0.05136633012847783,-271.61932196327325,-249.23263789088222
processed_500Hz_0006_epo,1.5002169177509521,4.0,0.7533738804188506,0.27800001780987355,0.4028813499491102,0.2618222222222223,0.09500310846116536,-155.51143510975882,-133.01238675810748
processed_500Hz_0007_epo,0.5642438497353839,1.0244544374052635,0.37872840693908605,0.270999987630486,0.3300977186104046,0.2634042553191489,0.07610537475762565,-221.44719417875572,-198.7307202674057
processed_500Hz_0008_epo,0.8719165068701593,0.6257634711395883,0.2700128215754981,0.2748267194456257,0.33400315671884,0.2794831460674157,0.0931117622953336,-49.621262643121845,-27.178080794461145
processed_500Hz_0009_epo,0.5889440586116502,0.25921569886131723,0.3303284599285359,0.26399999479261194,0.2919362042646097,0.2665670103092784,0.07255739387909178,-152.2908531173058,-129.41729822478888
processed_500Hz_0010_epo,0.5405295353553454,0.03980187859076535,0.15682435992209004,0.3018785328313494,0.2371634624416268,0.3119222222222222,0.07124452848820162,-138.65591292652024,-116.15686457486892
processed_500Hz_0011_epo,0.8171399616762371,0.8404522102542376,0.22616947623846612,0.26780210238756874,0.2563612521671161,0.2688202247191011,0.09680892356001268,-143.0821091457785,-120.6389272971178
processed_500Hz_0012_epo,0.5764394584283378,0.5004567148332506,0.4241885177072775,0.25393052373333197,0.24981791061751638,0.2540963855421687,0.05387549557155157,-198.25853028896532,-176.16432724998234
processed_500Hz_0013_epo,1.1635701519921093,0.9778342944417897,0.31751138579084487,0.3052150339995942,0.4021969518965007,0.3207469879518072,0.13267197008997064,27.245279305743946,49.33948234472693
processed_500Hz_0014_epo,0.785410459103167,2.08448609425985,0.43693247089554466,0.21799999879571302,0.39478182010791,0.21212195121951216,0.08736402539248125,-186.5705169822651,-164.53692074594383
processed_500Hz_0015_epo,0.5518091310706569,0.08786813170432219,0.4355870633560521,0.2953141706605661,0.41353978085487725,0.34637894736842095,0.10928043875108119,-21.80510067659281,0.9642837814098932
processed_500Hz_0016_epo,0.8870124754294519,4.0,0.37535183248683895,0.278185816998211,0.4284257792372063,0.27771134020618554,0.09365674977606375,-187.33819388114136,-164.46463898862444
processed_500Hz_0017_epo,1.4132037988673336,4.0,1.0257922574240808,0.38299987316591944,0.3377576360529332,0.3748842105263158,0.1073607654649446,-144.74721467955254,-121.97783022154984
processed_500Hz_0018_epo,0.9893466261002987,4.0,0.3014234778526248,0.27799999780349854,0.45861311227728474,0.27879347826086953,0.12411254868092755,-111.31088775461959,-88.70194486937439
processed_500Hz_0019_epo,0.5953467122398282,0.15086527938542132,0.29325845067652206,0.2608144356725818,0.1126551157317836,0.26106896551724135,0.03231055950075277,-289.19846592024396,-266.86892532697107
processed_500Hz_0020_epo,0.5,0.59732778361163,0.2330112405469987,0.26784447303459796,0.25757801164885397,0.2698933333333333,0.06814662101348501,-208.74518198947285,-187.15774142179131
processed_500Hz_0021_epo,0.724790266113262,0.8180772529653316,0.2086662159370977,0.23593897880905043,0.3169192326612964,0.22834736842105266,0.06577325779101423,-186.89694868948686,-164.12756423148414
processed_500Hz_0022_epo,0.6377562441136709,1.119627146595389,0.007640527308553881,0.24856555866875082,0.2997677205384326,0.24135869565217388,0.06092075778200284,-221.98785779312308,-199.37891490787788
processed_500Hz_0023_epo,0.5215529756165136,0.0,0.2689581782287072,0.28016001254044304,0.20771171220950205,0.2828172043010753,0.048868915343065714,-214.0703935963519,-191.4073961305856
processed_500Hz_0024_epo,0.5742783709358008,0.645386572798539,1.3057389471458027,0.26800003844425685,0.25126333791739763,0.2673552631578947,0.06128464733205991,-225.268383399368,-203.61471669793633
processed_500Hz_0025_epo,0.9676620820202164,2.1003196318438078,0.32796391309544537,0.2682011461178233,0.27060111586968416,0.2663555555555555,0.06647561141937881,-181.93418765058337,-159.43513929893203
