sbj,b0,delta,t0,sigma,mean_z,std_z,G2,BIC
processed_500Hz_0001_epo,0.670353924551726,0.056510496146920546,0.425653603278508,0.28245940658884305,0.4997291666666667,0.11737533095149176,100.5518507236596,118.80924348953094
processed_500Hz_0002_epo,0.6744582096006942,0.5021271336267897,0.3282198852084698,0.4703280269501814,0.4945833333333334,0.15006690637475303,206.0236030413061,224.28099580717745
processed_500Hz_0003_epo,0.7424687111660064,0.7744760985842634,0.529231818894133,0.23025177467559613,0.548163043478261,0.13374629431468804,92.42928021385337,110.51643452204954
processed_500Hz_0004_epo,0.686502128382218,0.7258308356096136,0.49008108032863323,0.3484307859681429,0.4681463414634147,0.15779077857621557,12.020813540539365,29.647690529596378
processed_500Hz_0005_epo,0.5152920802721334,0.8528133280306173,0.41443077874504397,0.22674488540607515,0.432378947368421,0.0841465111948225,-85.08063095257286,-66.8651233861707
processed_500Hz_0006_epo,0.8533959919670767,0.886760733536202,0.44173335195721314,0.4545802128720091,0.44465909090909084,0.20419620056809648,83.22464975339946,101.13399701131229
processed_500Hz_0007_epo,0.7647436395548896,0.8223892236909004,0.41753540067495415,0.33419999494314845,0.45231868131868125,0.14140735942432409,52.64647201770744,70.68991004377483
processed_500Hz_0008_epo,0.7351404286191742,0.31211725086808667,0.41130963421526723,0.2615400424378743,0.45313253012048194,0.10817575737641005,47.438937178165126,65.11429960935152
processed_500Hz_0009_epo,0.7091424009299155,0.5891871616275866,0.5363083638889483,0.2670951081789915,0.5324895833333333,0.13851789857208485,20.527726432993028,38.78511919886437
processed_500Hz_0010_epo,0.8293656071250507,0.5835394661269068,0.6210000000674392,0.23341150839433863,0.5971758241758243,0.1460764208700735,46.563434825185155,64.60687285125255
processed_500Hz_0011_epo,0.7486934949451061,0.7329730232666531,0.47065439637477047,0.2073937384181563,0.4811170212765958,0.10337710932093593,-13.440463320482344,4.732715808597671
processed_500Hz_0012_epo,0.6968203897288211,0.9446488976285629,0.42699999231488284,0.22344735607408778,0.4355833333333334,0.10594098855285218,-72.50150001044304,-54.244107244571694
processed_500Hz_0013_epo,1.0191882407409614,0.34904449602956217,0.5512146041390055,0.3477922769861474,0.5442886597938145,0.18468574360794146,194.81068306909788,213.1095269831114
processed_500Hz_0014_epo,0.6542200441418049,1.0566757204581083,0.47703570058470635,0.3327576662948348,0.5295056179775282,0.17016219120813217,19.42702957342821,37.381575052356766
processed_500Hz_0015_epo,0.8002077090377416,0.5983161434762596,0.5571914429126996,0.2754655335010903,0.5445408163265306,0.14920805692855474,69.29633769761669,87.63620761229899
processed_500Hz_0016_epo,0.7680914427715198,0.25927625112937913,0.4926893617277425,0.27067553670192407,0.5055789473684209,0.1417709478773767,87.65041890120075,105.86592646760292
processed_500Hz_0017_epo,0.6096763589676419,1.6982576250982886,0.5260000092500026,0.2830030234938157,0.491804347826087,0.12351309023483008,-141.15891345811696,-123.0717591499208
processed_500Hz_0018_epo,0.738726402651279,0.45010749387203997,0.4918599038766321,0.3586082473537772,0.530125,0.18869779907301515,131.1896565412146,149.44704930708593
processed_500Hz_0019_epo,0.8441437754985462,0.18393974460652693,0.43650514161564113,0.2815360882542693,0.49753125000000004,0.14189292861204947,179.16621653749272,197.42360930336406
processed_500Hz_0020_epo,0.6259217209279361,0.7426284705837972,0.4839222453197927,0.2288454731492089,0.48633333333333334,0.10406969680033998,-7.438896065999538,10.691501906613487
processed_500Hz_0021_epo,0.7211359193473439,0.4928265768737523,0.41947851123058943,0.24043462037876623,0.44719354838709685,0.11293191954890498,104.13805760814753,122.26845558076056
processed_500Hz_0022_epo,0.8589785922652768,0.35457862492188147,0.4589501949594025,0.3261320666723729,0.4796875,0.1687465624649877,140.4632368224429,158.72062958831424
processed_500Hz_0023_epo,0.610338545137134,0.49248909296190496,0.46223141329417833,0.2332906813031975,0.5105520833333334,0.11703523951069776,5.309821014143136,23.56721378001448
processed_500Hz_0024_epo,0.6123507710559943,1.3604186124216453,0.39984612187794705,0.29353293419291576,0.3937065217391304,0.1168203319523914,-129.93049817401422,-111.84334386581806
processed_500Hz_0025_epo,0.7267968865886419,0.5298808833641047,0.4085102880908401,0.24738720424092814,0.4364175824175825,0.10811319525183728,8.283103362632476,26.326541388699873
