sbj,b0,delta,t0,sigma,mean_z,std_z,G2,BIC
processed_500Hz_0001_epo,0.6024006261909853,0.17276073764748295,0.29900007170895176,0.22147342075239734,0.32486813186813185,0.07113092846590835,87.64243749069678,105.68587551676418
processed_500Hz_0002_epo,0.45617654303911065,0.4473472024576985,0.2959999482221516,0.24342937752335947,0.2817628865979382,0.0720915473541453,-12.320446351616036,5.978397562397495
processed_500Hz_0003_epo,0.5142431520160253,0.6379356694877177,0.27667754593912186,0.20445285914851072,0.27331395348837206,0.054750865264036025,14.654881421007564,32.472270606021596
processed_500Hz_0004_epo,0.5979184075903374,0.615575544568764,0.4156160272063022,0.4684139080818773,0.3303116883116884,0.11557122498789027,66.9754487560454,84.35067044346013
processed_500Hz_0005_epo,0.4111465584883667,0.21867680941794965,0.3059999989622877,0.3112495963756201,0.2575113636363637,0.05136633012847783,-26.973107642661127,-9.0637603847483
processed_500Hz_0006_epo,0.4810630497871167,1.0467336716703624,0.43528254126514065,0.6631067875766723,0.2618222222222223,0.09500310846116536,-11.834658227356693,6.164580453964367
processed_500Hz_0007_epo,0.43781186435979524,0.44438565131904406,0.29500000886106204,0.35751057185592483,0.2634042553191489,0.07610537475762565,-17.628709533903848,0.5444695951761673
processed_500Hz_0008_epo,0.7136009500218463,0.25433875213748425,0.2775912525843722,0.3352616232560899,0.2794831460674157,0.0931117622953336,139.05191063847593,157.0064561174045
processed_500Hz_0009_epo,0.5566507670852292,0.35116833812513926,0.2650000033053732,0.29222987921979116,0.2665670103092784,0.07255739387909178,75.63092746259468,93.92977137660822
processed_500Hz_0010_epo,0.568673406908581,0.15977474241931325,0.283519929382158,0.24647177817036492,0.3119222222222222,0.07124452848820162,73.55707615741923,91.55631483874029
processed_500Hz_0011_epo,0.6029947733819527,0.28692733842059054,0.3078144771822141,0.3064015207936793,0.2688202247191011,0.09680892356001268,92.01240116331377,109.96694664224233
processed_500Hz_0012_epo,0.5062884218852424,0.4578692144360814,0.264999991679264,0.2577473654633817,0.2540963855421687,0.05387549557155157,29.403487254738405,47.078849685924794
processed_500Hz_0013_epo,0.8066875626183676,0.3776442775353518,0.323607290121277,0.4101140884403939,0.3207469879518072,0.13267197008997064,163.5005218931058,181.17588432429218
processed_500Hz_0014_epo,0.46416591074146885,0.5912809164918238,0.275386085149831,0.49971518311533936,0.21212195121951216,0.08736402539248125,-3.312130819286609,14.314746169770405
processed_500Hz_0015_epo,0.5736815714513865,0.4424505323454865,0.27766297378961113,0.4296139456128979,0.34637894736842095,0.10928043875108119,70.49495299121998,88.71046055762214
processed_500Hz_0016_epo,0.45438899954613376,0.4548445166916277,0.3208962570005568,0.47172511015785423,0.27771134020618554,0.09365674977606375,-14.200598199901656,4.098245714111876
processed_500Hz_0017_epo,0.5397033825840246,1.2293569028734006,0.47987542504427594,0.4366430043502866,0.3748842105263158,0.1073607654649446,-2.802802254036216,15.412705312365947
processed_500Hz_0018_epo,0.5076754634300517,0.36559926292287026,0.32138448847209666,0.5051212492954638,0.27879347826086953,0.12411254868092755,22.146604101064515,40.23375840926067
processed_500Hz_0019_epo,0.5710477920905812,0.2991845174258826,0.26300000193312245,0.11335392549979788,0.26106896551724135,0.03231055950075277,78.84254683079243,96.70617930541076
processed_500Hz_0020_epo,0.4293489965308458,0.21900284418953325,0.27597883501909043,0.26197535972577746,0.2698933333333333,0.06814662101348501,-19.112737556738043,-1.8427851025928028
processed_500Hz_0021_epo,0.5244906819790618,0.2693303689866747,0.2875678159464242,0.40745692971194886,0.22834736842105266,0.06577325779101423,43.96147585542007,62.17698342182223
processed_500Hz_0022_epo,0.4665695589054639,0.04725948696849964,0.28354339982257654,0.3511500239935323,0.24135869565217388,0.06092075778200284,5.2746092272702025,23.361763535466366
processed_500Hz_0023_epo,0.5283546985682006,0.2683489634418106,0.2759977916763179,0.20766849766729478,0.2828172043010753,0.048868915343065714,50.85429702123276,68.98469499384578
processed_500Hz_0024_epo,0.5105069831988923,1.4036692353494804,0.2749391462350927,0.2555755528739386,0.2673552631578947,0.06128464733205991,-24.455309179885806,-7.132375818740481
processed_500Hz_0025_epo,0.549941985128234,0.5123837343015767,0.32869959095378687,0.3583566989889377,0.2663555555555555,0.06647561141937881,48.641364792323095,66.64060347364415
