sbj,b0,lambda,delta,t0,sigma,mean_z,std_z,G2,BIC
processed_500Hz_0001_epo,0.6171524603070537,0.26871309469958427,0.1689266799411102,0.31241006827810835,0.21380355160842518,0.32486813186813185,0.07113092846590835,-139.1946035541543,-116.64030602157004
processed_500Hz_0002_epo,0.5,0.18933018851881417,0.45157714904850776,0.28800002312201894,0.23635091080215592,0.2817628865979382,0.0720915473541453,-266.6706386753081,-243.7970837827912
processed_500Hz_0003_epo,0.5767888145445119,0.529079647578129,0.6151730489276233,0.27305135863334135,0.20280826543622293,0.27331395348837206,0.054750865264036025,-245.88615067162485,-223.6144141903573
processed_500Hz_0004_epo,0.9634768188305519,0.9721479305976322,0.522725225933588,0.3380000777003413,0.38251889690288987,0.3303116883116884,0.11557122498789027,-50.07946959804692,-28.3604424887785
processed_500Hz_0005_epo,0.6274278766775385,1.4354968005459847,0.19324651532098028,0.2630000655893426,0.24715109315126368,0.2575113636363637,0.05136633012847783,-269.63680536980314,-247.2501212974121
processed_500Hz_0006_epo,1.6652289548155652,2.745241931580341,0.6902456953812639,0.26600002623889063,0.3915889458910297,0.2618222222222223,0.09500310846116536,-160.771794174118,-138.27274582246667
processed_500Hz_0007_epo,0.5406822275736612,0.6941761653989204,0.3862916554173185,0.2724731624386833,0.3313368947044392,0.2634042553191489,0.07610537475762565,-220.7096716805431,-197.99319776919307
processed_500Hz_0008_epo,0.8533280834256813,0.4776692590782162,0.27176256180084196,0.27497002804545134,0.3340595367278796,0.2794831460674157,0.0931117622953336,-49.58927879913751,-27.14609695047681
processed_500Hz_0009_epo,0.5942547110059878,0.28398318248860543,0.32672524379455165,0.26364683144946366,0.29181065594268457,0.2665670103092784,0.07255739387909178,-152.5584573585025,-129.68490246598557
processed_500Hz_0010_epo,0.5407696100911141,0.04137180665837545,0.1566894115270041,0.30186713785964947,0.2371660838702466,0.3119222222222222,0.07124452848820162,-138.6584414679402,-116.15939311628888
processed_500Hz_0011_epo,0.7972138307903406,0.6358391030870977,0.2259141302787408,0.2680002738249153,0.256471823403861,0.2688202247191011,0.09680892356001268,-143.2586389794114,-120.81545713075069
processed_500Hz_0012_epo,0.5753189623066233,0.4535567158794466,0.42367920209892607,0.2539144386552082,0.24981102891669268,0.2540963855421687,0.05387549557155157,-198.3901351028115,-176.29593206382853
processed_500Hz_0013_epo,1.1550495181662865,0.7486553618893302,0.3153656830251804,0.3048814264940981,0.4021221520103961,0.3207469879518072,0.13267197008997064,24.12615218708304,46.22035522606603
processed_500Hz_0014_epo,0.7204958779141624,1.25035179902756,0.44668363322784843,0.21900004546520338,0.3959286690713663,0.21212195121951216,0.08736402539248125,-185.77832110769563,-163.74472487137436
processed_500Hz_0015_epo,0.5526292657689864,0.09275129474556754,0.4349812391623041,0.29528654161130247,0.41355795210282187,0.34637894736842095,0.10928043875108119,-21.822279283812204,0.9471051741905008
processed_500Hz_0016_epo,0.8160329649338509,2.3599845456856854,0.37534418361730226,0.277971040144448,0.4282960986578661,0.27771134020618554,0.09365674977606375,-188.49741258299852,-165.6238576904816
processed_500Hz_0017_epo,1.044731376065559,1.5245428647338857,1.0734644856976319,0.3899793867431951,0.34172105178603895,0.3748842105263158,0.1073607654649446,-138.6646486002197,-115.89526414221699
processed_500Hz_0018_epo,0.5282851849871836,0.14028427387201714,0.3614578791670082,0.31734424453779914,0.4997562511630595,0.27879347826086953,0.12411254868092755,-107.89884057890853,-85.28989769366333
processed_500Hz_0019_epo,0.5962432518641588,0.15206146821926322,0.29272310881384256,0.2607899127690766,0.1126506144388358,0.26106896551724135,0.03231055950075277,-289.24276214178497,-266.91322154851207
processed_500Hz_0020_epo,0.5,0.5134371747846571,0.23572913304937518,0.26758504456849924,0.25749514915883503,0.2698933333333333,0.06814662101348501,-208.49641187785528,-186.90897131017374
processed_500Hz_0021_epo,0.6882844403625913,0.5302448521031999,0.21673268517075794,0.23713260690939933,0.3181335562481327,0.22834736842105266,0.06577325779101423,-185.74504102714596,-162.97565656914327
processed_500Hz_0022_epo,0.6045108909765642,0.7329618577454351,0.012495357760455829,0.2503472445871584,0.30139065172550705,0.24135869565217388,0.06092075778200284,-221.0481126641468,-198.4391697789016
processed_500Hz_0023_epo,0.5228809454752829,0.01,0.26793600237539106,0.28008619550094543,0.20770237553810655,0.2828172043010753,0.048868915343065714,-213.95831399997263,-191.29531653420634
processed_500Hz_0024_epo,0.5742973288752518,0.5997418768533521,1.3007271595147063,0.26800000872601937,0.251304223189752,0.2673552631578947,0.06128464733205991,-225.4487946035488,-203.79512790211714
processed_500Hz_0025_epo,0.883013276651196,1.2458426699998715,0.3322371695672566,0.269097007343658,0.27110428001583003,0.2663555555555555,0.06647561141937881,-181.92237779538016,-159.42332944372885
