,True_model,G2_ddm,G2_ct_ddm,BIC_ddm,BIC_ct_ddm,lambda,Best_model
0,CTDDM,331.77471496688804,293.43029257698026,350.1953957108404,316.45614350692074,0.8868784060859582,CTDDM
1,CTDDM,-66.59831923244421,-175.89275664929892,-48.17763848849184,-152.86690571935844,1.5560901609391475,CTDDM
2,CTDDM,486.3610102316189,454.4890616820204,504.7816909755713,477.5149126119608,0.5339055363532609,CTDDM
3,DDM,327.3153946789825,323.8023321497868,345.73607542293485,346.8281830797273,0.0219002134686052,DDM
4,CTDDM,140.3111239269677,80.19009562139487,158.73180467092007,103.21594655133534,0.6766427312995521,CTDDM
5,DDM,388.47361398620217,388.4416775539354,406.8942947301545,411.4675284838759,0.0063482986168381,DDM
6,CTDDM,442.940647533579,357.9349625250349,461.36132827753136,380.9608134549754,2.0,CTDDM
7,CTDDM,311.4428397453683,300.17490734496045,329.86352048932065,323.2007582749009,0.2885655378630166,CTDDM
8,DDM,368.74444263691794,368.3034218112963,387.1651233808703,391.3292727412368,0.017696092623947,DDM
9,CTDDM,367.9424835137396,312.23433449940626,386.3631642576919,335.26018542934673,0.6432452127597225,CTDDM
10,DDM,215.37419160702197,214.54891647578972,233.79487235097432,237.5747674057302,0.0355469358127769,DDM
11,CTDDM,533.8470778222054,502.0818299547232,552.2677585661578,525.1076808846636,0.2638065645901781,CTDDM
12,DDM,124.70853495804305,124.0046118188088,143.1292157019954,147.03046274874924,0.0408939938784935,DDM
13,CTDDM,282.8180641433117,232.76495371888137,301.23874488726403,255.79080464882185,0.913203100720292,CTDDM
14,CTDDM,637.9170065860602,610.5355031084276,656.3376873300126,633.5613540383681,0.1984143025430282,CTDDM
15,DDM,548.565621803711,548.5656218036312,566.9863025476634,571.5914727335717,0.0,DDM
16,CTDDM,445.3264473182677,401.9986092418458,463.74712806222,425.0244601717863,0.6209067327532003,CTDDM
17,DDM,674.0578117197942,673.3287514701316,692.4784924637466,696.354602400072,0.0057391452335523,DDM
18,CTDDM,244.15303177981605,190.61357702668877,262.5737125237684,213.6394279566292,0.7600354123943286,CTDDM
19,CTDDM,191.83980258240192,105.31549607950777,210.2604833263543,128.3413470094482,2.0,CTDDM
20,CTDDM,378.9859389622231,323.8535794414447,397.40661970617543,346.8794303713852,1.1548167870984998,CTDDM
21,DDM,136.03779639277266,135.9725554808393,154.45847713672504,158.99840641077975,0.006550255730393665,DDM
22,DDM,527.8662562706143,527.866257156581,546.2869370145667,550.8921080865215,0.0,DDM
23,CTDDM,384.197918945427,269.8476435918733,402.6185996893793,292.87349452181377,2.0,CTDDM
24,CTDDM,194.37620645546113,119.55154648495454,212.7968871994135,142.57739741489502,0.8006517133139458,CTDDM
25,CTDDM,296.91170762484813,270.0587194695788,315.3323883688005,293.0845703995193,0.3195371566508836,CTDDM
26,DDM,791.8589658662702,791.482741079791,810.2796466102226,814.5085920097315,0.003995154521777385,DDM
27,CTDDM,196.5643973249496,164.56303269806648,214.98507806890197,187.58888362800695,0.4286778746258778,CTDDM
28,DDM,346.2361693994024,342.11316332899094,364.65685014335475,365.1390142589314,0.08470506453341212,DDM
29,DDM,942.6372869663056,941.5196197154512,961.057967710258,964.5454706453917,0.005846563049402248,DDM
30,DDM,528.6536503373809,528.6536503387755,547.0743310813333,551.679501268716,0.0,DDM
31,DDM,335.3145618543229,330.095486312213,353.73524259827525,353.12133724215346,0.09415080688517947,CTDDM
32,CTDDM,278.7672174861802,210.01631256588416,297.18789823013253,233.04216349582464,1.3689228516368843,CTDDM
33,DDM,154.38317175205157,147.5960152949193,172.80385249600394,170.6218662248598,0.12561513981802466,CTDDM
34,CTDDM,118.05895215209931,28.363098064342996,136.47963289605167,51.38894899428345,2.0,CTDDM
35,CTDDM,193.37237914178934,103.59048393862791,211.7930598857417,126.61633486856837,1.574440349011656,CTDDM
36,CTDDM,171.5353802120137,122.34744627307056,189.95606095596608,145.37329720301102,1.211778365147834,CTDDM
37,DDM,747.5723038180303,747.5723038118263,765.9929845619827,770.5981547417667,0.0,DDM
38,CTDDM,284.7458631104364,208.615545912801,303.16654385438875,231.64139684274147,1.1636199214749108,CTDDM
39,CTDDM,346.9105790277879,304.00594369682295,365.33125977174024,327.0317946267634,0.8092720541632422,CTDDM
