,True_model,G2_ddm,G2_ct_ddm,BIC_ddm,BIC_ct_ddm,lambda,Best_model
0,DDM,109.51688080791948,219.0426508111224,236.14510903980755,241.8577807097472,0.0001896751089773,DDM
1,CTDDM,291.2379696639555,558.8183090259874,599.5872867518796,581.6334389246123,0.956238618856,CTDDM
2,CTDDM,46.38257563434657,92.76515126869364,109.87649869266176,115.58028116731845,0.0,DDM
3,CTDDM,-130.76242547190276,-310.3829376443873,-244.4135035198369,-287.5678077457625,1.6288243247574434,CTDDM
4,DDM,305.7952568760201,611.5905139322175,628.7018611760088,634.4056438308423,0.0,DDM
5,CTDDM,-61.89544620150888,-145.85670415043836,-106.67954497904915,-123.04157425181356,0.9798449362419344,CTDDM
6,DDM,845.1907520593758,1690.381504284764,1707.4928515427202,1713.1966341833886,0.0,DDM
7,CTDDM,-84.65730014732705,-179.25531984819085,-152.2032528706855,-156.44018994956605,0.9661589849698804,CTDDM
8,DDM,343.53285866773194,687.0657198462603,704.1770647594325,709.8808497448852,7.119084179988005e-08,DDM
9,CTDDM,-126.14446714820268,-309.28597179721135,-235.1775868724368,-286.4708418985865,1.6379339578654646,CTDDM
10,CTDDM,479.7079215834667,731.4309362711042,976.527190590902,754.246066169729,0.837742585016898,CTDDM
11,DDM,223.5895421112741,447.17908357594615,464.2904316465169,469.994213474571,2.400344824770456e-06,DDM
12,DDM,553.7495265811863,1107.4990536123305,1124.6104005863413,1130.3141835109552,0.0,DDM
13,DDM,298.2758997298963,594.97122923528,613.6631468837612,617.7863591339049,0.2699890903612969,DDM
14,CTDDM,469.4279538083171,740.846536762125,955.9672550406028,763.6616666607498,0.8201007652912168,CTDDM
15,CTDDM,-105.2402237571808,-240.35676216535543,-193.369100090393,-217.54163226673063,1.7788586499996568,CTDDM
16,CTDDM,599.1321880712413,1101.3140006455176,1215.3757235664514,1124.1291305441423,0.4356761720850485,CTDDM
17,DDM,116.20167141179532,232.40334282360607,249.5146902475593,255.21847272223087,0.0,DDM
18,CTDDM,507.10319357751536,750.775409977234,1031.3177345789993,773.5905398758588,2.0,CTDDM
19,DDM,-40.09854212583144,-80.19708308181052,-63.08573682769429,-57.38195318318572,0.0,DDM
20,DDM,79.61452953122642,159.45818006049413,176.34040648642144,182.27330995911893,0.185021634163407,DDM
21,CTDDM,244.91948208357687,490.05907550178,506.95031159112233,512.8742054004048,0.1061055779301199,DDM
22,CTDDM,40.9102996237789,1.042527972142808,98.93194667152642,23.85765787076761,1.6133116720213734,CTDDM
