,True_model,G2_ddm,G2_ct_ddm,BIC_ddm,BIC_ct_ddm,lambda,Best_model
0,CTDDM,350.4246975850848,269.7214535491416,364.2402081430491,288.1421342930939,1.6019335246919688,CTDDM
1,DDM,650.0247772338764,649.6661302764359,663.8402877918408,668.0868110203883,0.0073467455632941,DDM
2,DDM,607.5839094292953,607.5839073960087,621.3994199872596,626.0045881399611,0.0,DDM
3,CTDDM,368.7748445353781,297.62431436842485,382.5903550933424,316.0449951123772,1.8606483604836832,CTDDM
4,DDM,456.713831903084,455.3591264704483,470.52934246104826,473.7798072144007,0.0426804819543949,DDM
5,CTDDM,267.004894789747,221.75006768582483,280.8204053477113,240.1707484297772,1.6485438834341988,CTDDM
6,DDM,603.5479845317099,603.4680840881733,617.3634950896742,621.8887648321257,0.0037605802797499,DDM
7,CTDDM,212.91501903151183,170.1012352231006,226.7305295894761,188.52191596705296,1.073732051895262,CTDDM
8,CTDDM,278.06214408860376,268.415447291738,291.87765464656803,286.8361280356903,0.5056016909239335,CTDDM
9,DDM,312.883583650317,312.883658582053,326.6990942082813,331.30433932600533,2.429330364476275e-06,DDM
10,DDM,566.6380235049988,566.6380237575413,580.4535340629632,585.0587045014937,0.0,DDM
11,DDM,336.40949908291543,334.968038314747,350.2250096408797,353.38871905869934,0.1261361022320732,DDM
12,CTDDM,312.2900536083014,243.63050468316732,326.10556416626565,262.0511854271197,1.7017785637114602,CTDDM
13,CTDDM,339.68914998540765,303.659369850146,353.5046605433719,322.08005059409834,0.4710692234843821,CTDDM
14,CTDDM,309.0928090651121,211.58981750005768,322.90831962307635,230.01049824401005,1.5801364723325435,CTDDM
15,DDM,822.5769747612022,821.7029219830391,836.3924853191666,840.1236027269915,0.0051458753017536,DDM
16,DDM,405.3817672022804,405.3817669663696,419.1972777602447,423.8024477103219,0.0,DDM
17,DDM,527.9714692822077,527.9714692950876,541.7869798401721,546.39215003904,0.0,DDM
18,DDM,521.1571500420276,519.0259477666957,534.972660599992,537.4466285106481,0.0390838698120905,DDM
19,DDM,433.98462786665993,433.0084736815404,447.8001384246242,451.4291544254927,0.0393622770038673,DDM
20,DDM,435.3975569915128,435.0586324142091,449.21306754947705,453.47931315816146,0.02692381210908639,DDM
21,CTDDM,308.5881437902421,244.88040519907415,322.4036543482064,263.3010859430265,1.258671403085204,CTDDM
22,DDM,420.37528391845063,420.3752839418973,434.1907944764149,438.79596468584964,7.663224328200758e-10,DDM
23,CTDDM,352.03621662637056,253.7621365553519,365.85172718433483,272.18281729930425,0.7118583628957108,CTDDM
24,DDM,481.61996232342614,481.61996247342915,495.4354728813904,500.0406432173815,0.0,DDM
25,CTDDM,335.19809017500177,239.48259016655663,349.01360073296604,257.903270910509,1.999998512915031,CTDDM
26,DDM,712.8820781950222,712.882078176995,726.6975887529866,731.3027589209474,0.0,DDM
27,CTDDM,304.487349139246,202.6496657152386,318.3028596972103,221.07034645919097,1.9999845153240825,CTDDM
28,CTDDM,312.7782370191155,278.21871739483595,326.5937475770798,296.6393981387883,0.6962857125280433,CTDDM
29,CTDDM,246.4635387714852,187.43593924881432,260.2790493294495,205.8566199927667,0.7238727731495337,CTDDM
30,DDM,394.165160080633,394.1651593686138,407.98067063859725,412.58584011256613,0.0,DDM
31,CTDDM,363.35763414662324,332.4681547403659,377.1731447045875,350.88883548431824,0.3983611087261616,CTDDM
32,CTDDM,329.1399705613536,314.9960050209993,342.9554811193179,333.41668576495164,0.16928530412315856,CTDDM
33,CTDDM,320.0400677216706,293.2181100707615,333.85557827963487,311.63879081471384,0.3149080629992469,CTDDM
34,DDM,641.9755175470789,641.8296564205696,655.7910281050432,660.250337164522,0.003953798386864195,DDM
35,DDM,472.84252920432436,472.84252920189135,486.65803976228864,491.2632099458437,0.0,DDM
36,CTDDM,556.6086989399859,534.0072775814605,570.4242094979502,552.4279583254129,0.2748640402030646,CTDDM
37,CTDDM,255.33892860896907,241.1295701789841,269.15443916693334,259.55025092293647,0.2830821107146486,CTDDM
38,DDM,449.93715503977893,449.9371547607096,463.7526655977432,468.3578355046619,0.0,DDM
39,CTDDM,320.50786055276774,306.36039105755447,334.323371110732,324.7810718015068,0.29986002433723324,CTDDM
