,True_model,G2_ddm,G2_ct_ddm,BIC_ddm,BIC_ct_ddm,lambda,Best_model
0,CTDDM,970.4700862161473,586.7834211016466,995.328518609836,611.6418534953353,1.1900695259626703,CTDDM
1,DDM,3662.492974596324,3674.339673258928,3687.351406990013,3699.198105652617,0.0,DDM
2,CTDDM,1119.9379643977552,429.7904502318467,1144.796396791444,454.6488826255355,2.0,CTDDM
3,DDM,1915.194388137055,1914.049926607476,1940.052820530744,1938.9083590011649,0.01232307311184,DDM
4,CTDDM,1034.41524166962,763.8943839588063,1059.2736740633088,788.7528163524951,0.9446404712687366,CTDDM
5,DDM,1961.1295645250132,1981.9254848607984,1985.987996918702,2006.7839172544873,0.0,DDM
6,CTDDM,1295.6490180412195,538.2329889335091,1320.5074504349084,563.0914213271978,2.0,CTDDM
7,DDM,2664.372960965552,2679.3220378338924,2689.231393359241,2704.1804702275813,0.0,DDM
8,CTDDM,1916.7880790561192,1514.8632287520593,1941.6465114498085,1539.7216611457482,0.5781685724902531,CTDDM
9,DDM,2149.9428247563797,2150.379511446842,2174.8012571500685,2175.237943840531,0.0,DDM
10,CTDDM,954.036161797822,126.71448604587673,978.8945941915108,151.57291843956548,2.0,CTDDM
11,DDM,4087.04047845248,4086.7181971545656,4111.898910846169,4111.5766295482545,0.0007835845806577,DDM
12,CTDDM,1628.9673927976503,1304.4163614224797,1653.8258251913394,1329.2747938161683,0.634919011295074,CTDDM
13,DDM,3809.994100363237,3820.7873125901615,3834.852532756926,3845.6457449838504,0.0010593614673651,DDM
14,CTDDM,1126.9539846828095,498.9642557003796,1151.8124170764986,523.8226880940684,1.8650778332561748,CTDDM
15,DDM,1524.835703705103,1524.8716138094023,1549.694136098792,1549.7300462030912,0.0197330020285955,DDM
16,CTDDM,1727.1158125317315,1594.693274108851,1751.9742449254204,1619.55170650254,0.2173069857089646,CTDDM
17,DDM,3117.8965845072835,3120.534622415778,3142.7550169009724,3145.393054809467,0.0034796881367456,DDM
18,CTDDM,967.5263991666004,694.0641764404554,992.3848315602892,718.9226088341442,1.153677566059818,CTDDM
19,DDM,2864.2977265884288,2865.4548219207877,2889.1561589821176,2890.3132543144766,0.0043880561853751,DDM
20,CTDDM,1481.0772432818871,940.0560575989076,1505.935675675576,964.9144899925964,1.2378583096192337,CTDDM
21,DDM,1938.2646475573192,1944.9644894053424,1963.1230799510083,1969.8229217990315,0.0,DDM
22,CTDDM,1497.3450053082397,1127.8430967699117,1522.2034377019286,1152.7015291636003,1.0240038764458337,CTDDM
23,DDM,3450.575129320486,3452.040939822183,3475.433561714175,3476.899372215872,0.0,DDM
24,CTDDM,1269.0398969315847,629.0293437537708,1293.8983293252736,653.8877761474596,1.646903489664641,CTDDM
25,DDM,1770.3232967476856,1786.312432993952,1795.1817291413745,1811.170865387641,0.0092558801300607,DDM
26,CTDDM,1384.6828788452383,969.0228727652918,1409.5413112389274,993.8813051589806,1.0882507507355588,CTDDM
27,DDM,1817.25711153688,1817.6983857169844,1842.115543930569,1842.5568181106732,0.0,DDM
28,CTDDM,2534.733191486606,2222.0555496549005,2559.5916238802947,2246.9139820485893,0.2328355081008872,CTDDM
29,DDM,2206.7965700678787,2216.0546734242293,2231.6550024615676,2240.913105817918,0.0011150892223631,DDM
30,CTDDM,897.5829134250824,273.43728803185803,922.4413458187712,298.2957204255468,1.6007865536158814,CTDDM
31,DDM,3249.327368495354,3267.7176767346255,3274.185800889043,3292.5761091283143,0.0,DDM
32,CTDDM,1056.2801392524475,373.46603260265334,1081.1385716461364,398.3244649963421,1.8624375936236597,CTDDM
33,DDM,2894.275656598591,2894.019632909052,2919.13408899228,2918.8780653027407,0.0,DDM
34,CTDDM,1345.272711423312,798.7658392887089,1370.1311438170007,823.6242716823976,1.3458369580674598,CTDDM
35,DDM,2372.4329830165716,2393.5237644854237,2397.2914154102605,2418.3821968791126,0.0,DDM
36,CTDDM,1295.9416652374432,399.844988864369,1320.800097631132,424.70342125805774,1.7136832751235782,CTDDM
37,DDM,2393.649624012847,2416.7882270171885,2418.508056406536,2441.6466594108774,0.0040361244564607,DDM
38,CTDDM,1566.1820368245767,1281.0108211970437,1591.0404692182656,1305.8692535907326,0.491635705653776,CTDDM
39,DDM,2573.6761270062993,2603.194606071196,2598.534559399988,2628.053038464885,0.0,DDM
40,CTDDM,1260.2195313310294,581.8489737230641,1285.0779637247183,606.7074061167528,1.9023814625178448,CTDDM
41,DDM,3038.965348722787,3038.901671114396,3063.823781116476,3063.7601035080847,0.0003689065354612,DDM
42,CTDDM,1038.580317171002,599.3803161427566,1063.4387495646909,624.2387485364453,1.3141083400426008,CTDDM
43,DDM,3356.998493709116,3367.729197363232,3381.8569261028047,3392.5876297569207,0.001420840716403,DDM
44,CTDDM,959.6231059691576,582.597288349475,984.4815383628464,607.4557207431637,1.3870061291616522,CTDDM
45,DDM,2079.9432698041983,2091.479239320906,2104.801702197887,2116.3376717145948,0.0,DDM
46,CTDDM,1523.655945407456,1014.9757796003792,1548.514377801145,1039.834211994068,1.10658189843758,CTDDM
47,DDM,3273.2784836787146,3272.8746130201707,3298.136916072403,3297.7330454138596,0.0,DDM
48,CTDDM,782.845128547352,334.2404884356655,807.7035609410408,359.09892082935426,1.7868608519446547,CTDDM
49,DDM,2661.1102450792664,2726.2538426826795,2685.9686774729553,2751.1122750763684,0.0,DDM
50,CTDDM,910.3154082910584,646.4991527816068,935.1738406847472,671.3575851752955,1.0266082286407403,CTDDM
51,DDM,2201.294999674531,2229.375347070391,2226.15343206822,2254.23377946408,0.0,DDM
52,CTDDM,1775.932248745116,1398.405383226465,1800.790681138805,1423.2638156201535,0.6735024763579716,CTDDM
53,DDM,2887.515647237337,2918.335574621623,2912.374079631026,2943.1940070153123,0.0016645436045673,DDM
54,CTDDM,1245.6338090850193,487.93978052093166,1270.492241478708,512.7982129146204,1.9706894192511475,CTDDM
55,DDM,2465.9650456059285,2468.0870613351394,2490.823477999618,2492.9454937288283,0.0039451900330721,DDM
56,CTDDM,1205.5340656334538,630.9360960520037,1230.392498027143,655.7945284456924,1.5852514973338656,CTDDM
57,DDM,1632.2633449367431,1632.0906781086835,1657.121777330432,1656.9491105023726,0.0,DDM
58,CTDDM,1609.8579856872852,1223.3575767319498,1634.716418080974,1248.2160091256387,0.7437117690767799,CTDDM
59,DDM,2682.5402267617683,2691.717625883362,2707.398659155457,2716.576058277051,0.0,DDM
60,CTDDM,1766.439226976819,1244.2627911199756,1791.2976593705082,1269.1212235136643,0.896876816063673,CTDDM
61,DDM,3279.1136116743583,3285.630755429463,3303.972044068047,3310.489187823152,0.0,DDM
62,CTDDM,1376.494193662447,770.6171421889455,1401.352626056136,795.4755745826343,1.4744193488275026,CTDDM
63,DDM,2536.4200982701004,2536.966350198167,2561.2785306637893,2561.824782591856,0.0,DDM
64,CTDDM,1402.5954780936806,850.6787090201516,1427.4539104873695,875.5371414138403,1.310415855966506,CTDDM
65,DDM,2389.29422931405,2390.151320783503,2414.152661707739,2415.0097531771917,0.0156014435764489,DDM
66,CTDDM,1044.0312671050697,589.6767240845201,1068.8896994987583,614.5351564782088,1.1610044123758196,CTDDM
67,DDM,2803.319560146024,2832.4216475142457,2828.1779925397127,2857.2800799079346,0.0,DDM
68,CTDDM,1211.667569778116,718.5104114918655,1236.5260021718047,743.3688438855543,1.238403672548959,CTDDM
69,DDM,1672.177626376763,1672.6312149728194,1697.0360587704522,1697.4896473665085,0.0,DDM
70,CTDDM,1107.5336350800071,793.4872904907573,1132.392067473696,818.3457228844461,1.135401609354935,CTDDM
71,DDM,2891.7513289866074,2896.836872409144,2916.6097613802963,2921.6953048028327,0.0059202136175504,DDM
72,CTDDM,1306.7621843160807,1173.1522247319378,1331.6206167097696,1198.0106571256267,0.3898300683041826,CTDDM
73,DDM,3005.4988951297632,3037.377780618018,3030.357327523452,3062.2362130117067,0.0,DDM
74,CTDDM,1260.373231099978,520.3633722144377,1285.231663493667,545.2218046081265,1.7578702194690248,CTDDM
75,DDM,3529.6212123989153,3542.5150970230206,3554.479644792604,3567.3735294167095,0.0,DDM
76,CTDDM,1269.216952012382,966.3177271507484,1294.075384406071,991.176159544437,0.7347901451978467,CTDDM
77,DDM,2620.0399001327214,2624.463889527942,2644.8983325264103,2649.32232192163,0.0,DDM
78,CTDDM,1027.7386963386766,924.3144378546652,1052.5971287323655,949.172870248354,0.4080236913618537,CTDDM
79,DDM,1978.1413024505391,1977.920672169066,2002.999734844228,2002.7791045627548,0.0,DDM
80,CTDDM,1069.2057165806837,822.1109791183584,1094.0641489743723,846.9694115120471,0.9884595693809628,CTDDM
81,DDM,2698.561135496113,2779.2178166775357,2723.419567889802,2804.0762490712245,0.0,DDM
82,CTDDM,1297.0432813974369,826.4488659289512,1321.9017137911255,851.30729832264,1.1388841087608743,CTDDM
83,DDM,3449.8021911647347,3484.4618742913167,3474.6606235584236,3509.3203066850056,0.0,DDM
84,CTDDM,913.8182902792354,471.3183898323723,938.676722672924,496.1768222260611,1.40467670064494,CTDDM
85,DDM,2747.597971158286,2748.4594259115634,2772.4564035519747,2773.317858305252,0.003217454160356,DDM
86,CTDDM,1044.436935292446,498.36489534956905,1069.2953676861348,523.2233277432579,1.6468824744719244,CTDDM
87,DDM,2006.115222035785,2007.3524520396816,2030.9736544294744,2032.2108844333704,0.0,DDM
88,CTDDM,899.2776974400515,624.5287779785697,924.1361298337404,649.3872103722584,0.9913623970575351,CTDDM
89,DDM,2885.2827708449317,2881.0026413776973,2910.1412032386206,2905.861073771386,0.0107769242570529,DDM
90,CTDDM,1291.3152549341785,976.6393944362626,1316.1736873278671,1001.4978268299514,0.7962818676433512,CTDDM
91,DDM,1978.4649642095624,1996.3394085097923,2003.3233966032517,2021.1978409034816,0.0145040838194165,DDM
92,CTDDM,2245.131557010069,1888.9568858394252,2269.989989403758,1913.815318233114,0.3554899148409376,CTDDM
93,DDM,1771.6836125288985,1786.567316877518,1796.5420449225871,1811.425749271207,0.0005598445636774,DDM
94,CTDDM,1306.8126307535188,1074.8101009690386,1331.6710631472076,1099.6685333627274,0.6025101481876566,CTDDM
95,DDM,3045.592457030674,3056.1039066120725,3070.4508894243627,3080.962339005762,0.0,DDM
96,CTDDM,1376.852264914564,1126.493167990572,1401.7106973082527,1151.351600384261,0.6839742190267406,CTDDM
97,DDM,2564.953854321239,2571.331859977758,2589.8122867149277,2596.190292371447,0.0,DDM
98,CTDDM,1692.716711304834,1307.260809926615,1717.5751436985229,1332.1192423203038,0.7766407545478108,CTDDM
99,DDM,3575.0429177891488,3594.2421464193785,3599.9013501828376,3619.1005788130674,0.0,DDM
100,CTDDM,1253.962011828426,1008.7408635995428,1278.820444222115,1033.5992959932316,0.8340175258422453,CTDDM
101,DDM,3890.506349499845,3893.356331759386,3915.3647818935337,3918.214764153075,0.0,DDM
102,CTDDM,1268.8849340264896,903.824831583586,1293.7433664201783,928.6832639772748,0.8917364110120475,CTDDM
103,DDM,2989.919718505119,3015.1963267407928,3014.778150898808,3040.0547591344816,0.0016913356185291,DDM
104,CTDDM,2113.8318640298003,1907.5045781324056,2138.690296423489,1932.3630105260945,0.2917583779050154,CTDDM
105,DDM,1849.2908040763916,1862.5638619720944,1874.1492364700805,1887.4222943657833,0.0045285695074715,DDM
106,CTDDM,2010.5070537579045,1763.6904254335368,2035.3654861515936,1788.5488578272257,0.3632620785649676,CTDDM
107,DDM,1978.695125374914,1980.746154050231,2003.5535577686028,2005.60458644392,0.0,DDM
108,CTDDM,1484.7537912165344,916.9712108183328,1509.6122236102233,941.8296432120214,1.2905422413633318,CTDDM
109,DDM,2049.489191775712,2059.404575760662,2074.3476241694007,2084.2630081543507,0.0003157884413347,DDM
110,CTDDM,1427.517286435145,1234.8846928176408,1452.375718828834,1259.7431252113297,0.606757008039662,CTDDM
111,DDM,3302.6814602713393,3350.979243254814,3327.539892665028,3375.837675648502,0.0,DDM
112,CTDDM,1047.513101669588,416.1433672793462,1072.3715340632768,441.00179967303495,1.800018985771182,CTDDM
113,DDM,1955.0150229151593,1961.0263495688305,1979.873455308848,1985.8847819625191,0.0013589376842928,DDM
114,CTDDM,1209.2529977811084,720.1715712015719,1234.1114301747973,745.0300035952606,1.4224775372136615,CTDDM
115,DDM,2492.704863524929,2542.602976506726,2517.5632959186178,2567.461408900415,0.0,DDM
116,CTDDM,1965.2744853971587,1832.2445389088496,1990.1329177908476,1857.1029713025384,0.2257784638673202,CTDDM
117,DDM,2232.275373853275,2238.8337386353564,2257.133806246964,2263.6921710290453,0.0,DDM
118,CTDDM,1057.7998621116649,388.8587775949682,1082.6582945053535,413.717209988657,1.875095600807192,CTDDM
119,DDM,2453.8419689859234,2459.01972419538,2478.700401379612,2483.878156589069,0.0,DDM
120,CTDDM,1135.2308648559033,549.5186375894763,1160.0892972495922,574.377069983165,1.3095173582731698,CTDDM
121,DDM,2833.3260412752657,2835.232165615584,2858.1844736689545,2860.090598009273,0.0,DDM
122,CTDDM,1239.631335043348,385.93890990066694,1264.489767437037,410.7973422943557,1.954262992774316,CTDDM
123,DDM,2105.6566986813805,2113.462917284616,2130.5151310750693,2138.321349678305,0.0,DDM
124,CTDDM,1937.3342366220693,1615.8777826404912,1962.1926690157584,1640.73621503418,0.3978422077472118,CTDDM
125,DDM,1736.740357390001,1736.4318502057702,1761.59878978369,1761.290282599459,0.0,DDM
126,CTDDM,1254.8513545942756,1217.4792153770927,1279.7097869879644,1242.3376477707816,0.1945784078011046,CTDDM
127,DDM,2876.9649278655857,2876.9691140934115,2901.8233602592745,2901.8275464871003,0.0,DDM
128,CTDDM,1301.3525575069975,659.5884138313675,1326.2109899006864,684.4468462250562,1.576118749436645,CTDDM
129,DDM,2179.758302543238,2177.9605450371246,2204.6167349369275,2202.8189774308134,0.0142387146206601,DDM
130,CTDDM,1280.5735906816335,886.6752187344001,1305.4320230753224,911.5336511280888,1.12766293503332,CTDDM
131,DDM,3643.8672906914567,3644.116613967722,3668.7257230851455,3668.975046361411,0.0039227779472307,DDM
132,CTDDM,1261.972047951407,477.7330021797626,1286.8304803450958,502.59143457345135,1.8737794593137256,CTDDM
133,DDM,3055.66680213205,3065.268669928788,3080.5252345257395,3090.1271023224767,0.00958777835564,DDM
134,CTDDM,873.8192265011483,477.1009515331925,898.677658894837,501.9593839268812,1.4398031818271535,CTDDM
135,DDM,2180.585932611604,2180.576832025272,2205.4443650052926,2205.4352644189607,0.0031102901193028,DDM
