,True_model,G2_ddm,G2_ct_ddm,BIC_ddm,BIC_ct_ddm,lambda,Best_model
0,CTDDM,1563.1875870503734,1273.9304070877486,1588.0460194440625,1298.7888394814374,1.7205526280934382,CTDDM
1,DDM,2220.1448682218615,2220.21839383681,2245.0033006155504,2245.076826230498,0.0,DDM
2,CTDDM,1569.1921978812632,1418.778384009139,1594.050630274952,1443.636816402828,0.970775998335874,CTDDM
3,DDM,2542.84929104243,2571.640762648727,2567.707723436119,2596.499195042416,0.0,DDM
4,CTDDM,1594.0680076867052,1290.3449281803748,1618.926440080394,1315.2033605740637,1.9264657319501304,CTDDM
5,DDM,2264.34248097398,2269.4933479859455,2289.200913367669,2294.3517803796344,0.0043137120996264,DDM
6,CTDDM,1461.196719141281,1351.8521804172651,1486.0551515349698,1376.7106128109542,0.4139028361934685,CTDDM
7,DDM,2576.4435177738897,2596.022444391895,2601.3019501675785,2620.880876785584,0.0008791126823746,DDM
8,CTDDM,1414.3141619065134,1072.972910663114,1439.1725943002025,1097.8313430568028,1.746455796563274,CTDDM
9,DDM,3720.6663311796833,3721.204983520423,3745.524763573372,3746.063415914112,1.7921760067217786e-05,DDM
10,CTDDM,1764.660609512537,1530.5428893517694,1789.5190419062255,1555.4013217454583,0.9564225251664988,CTDDM
11,DDM,2508.7952345558633,2508.961742878678,2533.653666949552,2533.8201752723667,0.0,DDM
12,CTDDM,1484.5782846331829,1197.166079149741,1509.4367170268715,1222.02451154343,1.319515640756028,CTDDM
13,DDM,2387.980381644932,2389.9008611702766,2412.838814038621,2414.7592935639655,0.0,DDM
14,CTDDM,812.0254156319173,518.0633315547439,836.8838480256061,542.9217639484326,1.884459027330988,CTDDM
15,DDM,1543.7185806364623,1549.2091985654724,1568.5770130301514,1574.0676309591613,0.0,DDM
16,CTDDM,1399.199872261585,1233.546307742978,1424.0583046552738,1258.404740136667,0.6421779817109262,CTDDM
17,DDM,2622.127792029775,2635.09269487084,2646.9862244234637,2659.9511272645286,0.0,DDM
18,CTDDM,1888.2531111331268,1616.3266870711325,1913.1115435268157,1641.1851194648214,1.1521191179326542,CTDDM
19,DDM,2965.388600280315,3006.282423007088,2990.247032674004,3031.1408554007767,0.0,DDM
20,CTDDM,1382.7795481946478,929.2439874922316,1407.6379805883366,954.1024198859204,1.768052342443612,CTDDM
21,DDM,3030.580303729179,3030.0670375013196,3055.438736122868,3054.9254698950085,0.0014631802576474,DDM
22,CTDDM,2125.4594836016345,1843.944224313587,2150.3179159953233,1868.802656707276,0.9103040228115016,CTDDM
23,DDM,2375.2476943997863,2379.2747951080873,2400.106126793475,2404.133227501776,0.0,DDM
24,CTDDM,871.8709469706761,483.5814747010612,896.7293793643648,508.43990709475,1.8327912422019004,CTDDM
25,DDM,2056.7853950194567,2056.7326578981247,2081.6438274131456,2081.5910902918135,0.0,DDM
26,CTDDM,1695.826129435092,1407.2441750152177,1720.684561828781,1432.1026074089064,1.474119265191934,CTDDM
27,DDM,2658.925226927556,2673.590694204811,2683.783659321245,2698.4491265985,0.0002652288905262,DDM
28,CTDDM,1843.104239020434,1666.3642847497192,1867.962671414123,1691.222717143408,0.5695674656691222,CTDDM
29,DDM,2932.727571539589,2932.1495086642126,2957.586003933278,2957.0079410579015,0.0027566788374769,DDM
30,CTDDM,1645.701522817045,1389.3330416776737,1670.559955210734,1414.1914740713626,1.3251392933151718,CTDDM
31,DDM,2429.82466966163,2444.6876068471056,2454.683102055319,2469.5460392407945,0.0,DDM
32,CTDDM,1711.3129318739605,1556.2189236664367,1736.171364267649,1581.0773560601256,1.633222614464133,CTDDM
33,DDM,2049.880992770288,2076.1371433525255,2074.739425163977,2100.9955757462144,0.0,DDM
34,CTDDM,1984.5705641399709,1810.099433376112,2009.4289965336595,1834.957865769801,0.6508713105479457,CTDDM
35,DDM,2041.96454199454,2046.3798357462424,2066.822974388229,2071.238268139931,0.0,DDM
36,CTDDM,1122.0505313328551,990.1124662990024,1146.908963726544,1014.9708986926912,2.0,CTDDM
37,DDM,3365.9107717960587,3365.8636180092853,3390.7692041897476,3390.722050402974,0.000815927706759,DDM
38,CTDDM,1469.6439695891736,1196.339204309561,1494.5024019828625,1221.1976367032498,1.8813786473170464,CTDDM
39,DDM,1971.6645622286503,1982.5703233614695,1996.5229946223392,2007.4287557551584,0.0,DDM
40,CTDDM,1430.675056619653,1100.4874992543282,1455.5334890133422,1125.345931648017,1.561166195192232,CTDDM
41,DDM,2961.376869323863,2989.452097565408,2986.235301717552,3014.310529959097,0.0,DDM
42,CTDDM,1065.720939986796,805.4109513088555,1090.5793723804848,830.2693837025442,1.659353110262382,CTDDM
43,DDM,2620.126271009461,2627.591857367475,2644.98470340315,2652.4502897611637,0.0,DDM
44,CTDDM,1837.0284055397383,1666.5635523422222,1861.8868379334272,1691.421984735911,0.5565833412510808,CTDDM
45,DDM,2622.069694575155,2630.85322555501,2646.928126968844,2655.7116579486988,0.0036792797068289,DDM
46,CTDDM,1562.2744743179192,1478.4644952300516,1587.132906711608,1503.3229276237405,0.3096004144654614,CTDDM
47,DDM,2794.067585078584,2835.3932603150915,2818.926017472273,2860.2516927087804,0.0,DDM
48,CTDDM,1865.391838484679,1669.6004443104534,1890.250270878368,1694.4588767041423,0.6126432392372098,CTDDM
49,DDM,2054.420876821213,2058.654127655665,2079.279309214902,2083.512560049354,0.0008898928645522,DDM
50,CTDDM,1656.8329809351596,1480.0439425881295,1681.6914133288485,1504.9023749818184,0.8347109968302121,CTDDM
51,DDM,2853.5057427507027,2877.69289257634,2878.3641751443915,2902.551324970029,0.0,DDM
52,CTDDM,1618.4315672807772,1447.5919104475795,1643.289999674466,1472.4503428412684,0.6132437561894614,CTDDM
53,DDM,3386.842527972756,3386.842203522484,3411.700960366445,3411.700635916173,0.0059798364339703,DDM
54,CTDDM,1103.630519844476,759.039750247933,1128.4889522381648,783.8981826416217,1.3410724217899668,CTDDM
55,DDM,3687.9979882037255,3691.502490718357,3712.8564205974144,3716.360923112046,0.0,DDM
56,CTDDM,1562.1949717159268,1282.436327815088,1587.0534041096157,1307.294760208777,1.6733436344150308,CTDDM
57,DDM,2694.6502685431433,2694.8355674878926,2719.508700936832,2719.6939998815815,0.0,DDM
58,CTDDM,2697.882735774874,2539.1921910280375,2722.741168168563,2564.0506234217264,0.2158924670645038,CTDDM
59,DDM,2790.791835452844,2802.3471472968104,2815.650267846533,2827.2055796904992,0.0,DDM
60,CTDDM,1971.8033512697573,1848.226618719102,1996.6617836634464,1873.085051112791,0.3839870629501,CTDDM
61,DDM,2270.2920970943815,2292.3467131159346,2295.1505294880703,2317.205145509623,0.0,DDM
62,CTDDM,2171.886134135669,1926.7237589187312,2196.744566529358,1951.5821913124205,0.6412445520482033,CTDDM
63,DDM,3086.473748214252,3202.4562357692353,3111.3321806079407,3227.314668162924,0.0,DDM
64,CTDDM,2151.3139805885803,1956.058476745225,2176.172412982269,1980.9169091389144,0.6325631375549415,CTDDM
65,DDM,2562.221849999524,2562.3499170853956,2587.0802823932127,2587.2083494790845,0.0009879250754787,DDM
66,CTDDM,1182.4368384073791,979.3725559255572,1207.295270801068,1004.230988319246,1.3163702270344442,CTDDM
67,DDM,2332.809751681304,2335.260093495867,2357.668184074993,2360.1185258895557,0.0,DDM
68,CTDDM,1291.0453701325648,1122.5649840383207,1315.9038025262537,1147.4234164320096,1.112030802513075,CTDDM
69,DDM,2478.4749906562015,2477.920023377098,2503.3334230498904,2502.778455770787,0.0076837559764477,DDM
70,CTDDM,1726.757043916326,1683.3146206590366,1751.6154763100149,1708.1730530527254,0.2834189800344588,CTDDM
71,DDM,2131.588396965032,2131.3792325285835,2156.446829358721,2156.2376649222724,0.0,DDM
72,CTDDM,1644.9848042687313,1433.1473960303583,1669.8432366624202,1458.0058284240472,1.0564875786146692,CTDDM
73,DDM,3784.723124888895,3784.5072918589217,3809.581557282584,3809.36572425261,0.0012756269457867,DDM
74,CTDDM,1143.9105342368443,876.0353004846797,1168.7689666305332,900.8937328783684,1.3006157798652955,CTDDM
75,DDM,3421.735993368894,3423.503182251338,3446.594425762583,3448.3616146450267,0.0011223539402352,DDM
76,CTDDM,1506.0881153038026,1334.056955508162,1530.9465476974915,1358.9153879018509,1.8103998660887288,CTDDM
77,DDM,2937.1459209105915,2937.327648246765,2962.0043533042804,2962.186080640454,0.0,DDM
78,CTDDM,1584.2540990496875,1487.1679489611015,1609.1125314433764,1512.0263813547906,0.5154410492237425,CTDDM
79,DDM,2622.831329369811,2642.427566943027,2647.6897617635,2667.285999336716,0.0,DDM
80,CTDDM,1244.6213002006157,815.0964642358484,1269.4797325943046,839.9548966295372,1.557391304238132,CTDDM
81,DDM,3339.5575273126788,3339.3278485773135,3364.4159597063676,3364.1862809710024,0.00234127207994,DDM
82,CTDDM,1487.3391132295878,1219.075819150442,1512.1975456232767,1243.9342515441308,1.2525861112147445,CTDDM
83,DDM,2269.901258388942,2299.5198191816658,2294.759690782631,2324.3782515753546,0.0,DDM
84,CTDDM,1715.922713219836,1469.9298296020193,1740.7811456135248,1494.788261995708,1.2314223652335206,CTDDM
85,DDM,2477.2162518486857,2477.3830398183864,2502.0746842423746,2502.241472212075,0.0061871390767609,DDM
86,CTDDM,1509.8028532246346,1426.6946364383875,1534.6612856183235,1451.5530688320764,0.3629868031487386,CTDDM
87,DDM,2047.317315593802,2065.215713492318,2072.175747987491,2090.074145886007,0.0,DDM
88,CTDDM,1251.1658382287233,895.8334579372075,1276.024270622412,920.6918903308964,1.557712375157014,CTDDM
